Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;48;0,1240;119;6;0;0;0;0;0;0
1,0000;960;1;1;0;48;0,3740;359;18;1;0;1;0;0;0
1,3750;1320;1;1;360;48;0,1240;119;6;0;0;0;0;0;0
1,5000;1440;1;2;0;48;0,3740;359;18;1;1;0;0;0;0
1,8750;1800;1;2;360;48;0,1240;119;6;0;0;1;1;0;0
2,0000;1920;2;1;0;55;0,8740;839;42;1;1;0;0;1;1
2,8750;2760;2;2;360;55;0,1240;119;6;0;0;0;0;0;0
3,0000;2880;3;1;0;55;0,2490;239;12;1;0;1;0;0;0
3,3750;3240;3;1;360;55;0,1240;119;6;0;0;0;0;0;0
3,5000;3360;3;2;0;57;0,3740;359;18;1;1;0;0;0;0
3,8750;3720;3;2;360;57;0,1240;119;6;0;0;1;0;0;0
4,0000;3840;4;1;0;55;0,3740;359;18;1;0;0;0;0;0
4,3750;4200;4;1;360;55;0,1240;119;6;0;0;0;0;0;0
4,5000;4320;4;2;0;55;0,3740;359;18;1;0;1;0;1;0
4,8750;4680;4;2;360;55;0,1240;119;6;0;0;0;0;0;0
5,0000;4800;5;1;0;53;0,3740;359;18;1;1;1;0;0;0
5,3750;5160;5;1;360;50;0,1240;119;6;0;0;0;0;0;0
5,5000;5280;5;2;0;48;0,1656;159;8;0;0;0;0;0;0
5,6667;5440;5;2;160;48;0,1656;159;8;0;0;0;0;0;0
5,8333;5600;5;2;320;48;0,1656;159;8;0;0;0;0;0;0
6,0000;5760;6;1;0;48;0,9990;959;48;1;0;1;1;1;1
7,0000;6720;7;1;0;50;0,2490;239;12;0;0;0;0;0;0
7,2500;6960;7;1;240;48;0,1865;179;9;0;0;1;0;0;0
7,4375;7140;7;1;420;46;0,0615;59;3;1;0;0;0;0;0
7,5000;7200;7;2;0;46;0,2490;239;12;0;0;1;1;0;0
8,0000;7680;8;1;0;48;0,4990;479;24;0;0;0;0;0;1
8,5000;8160;8;2;0;46;0,3740;359;18;1;0;0;0;0;0
8,8750;8520;8;2;360;46;0,1240;119;6;0;0;0;0;0;0
9,0000;8640;9;1;0;46;0,4990;479;24;1;1;1;0;1;1
9,5000;9120;9;2;0;48;0,3740;359;18;0;0;0;0;0;0
9,8750;9480;9;2;360;48;0,1240;119;6;0;0;0;0;0;0
10,0000;9600;10;1;0;48;0,2490;239;12;1;0;1;1;0;0
10,3750;9960;10;1;360;48;0,1240;119;6;0;0;0;0;0;0
10,5000;10080;10;2;0;46;0,4990;479;24;1;0;1;0;0;1
11,0000;10560;11;1;0;48;0,3740;359;18;0;0;0;0;0;0
11,3750;10920;11;1;360;48;0,1240;119;6;0;0;0;0;0;0
11,5000;11040;11;2;0;48;0,2490;239;12;1;1;1;1;1;1
