Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;59;0,1240;119;3;0;0;0;0;0;0
1,0000;960;1;1;0;59;0,8740;839;21;1;0;1;1;0;1
1,8750;1800;1;2;360;59;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;2;1;0;59;0,1656;159;4;1;1;1;0;0;0
2,1667;2080;2;1;160;57;0,1656;159;4;0;0;0;0;0;0
2,3333;2240;2;1;320;57;0,1656;159;4;0;0;0;0;0;0
2,5000;2400;2;2;0;56;0,4990;479;12;1;1;1;1;1;0
3,0000;2880;3;1;0;59;0,2490;239;6;0;0;0;0;0;0
3,2500;3120;3;1;240;59;0,2490;239;6;0;0;0;0;0;0
3,5000;3360;3;2;0;59;0,1656;159;4;1;0;0;0;0;0
3,6667;3520;3;2;160;56;0,0823;79;2;0;0;1;0;0;0
3,8333;3680;3;2;320;59;0,1656;159;4;0;0;0;0;0;0
4,0000;3840;4;1;0;56;0,1656;159;4;1;0;1;0;0;0
4,1667;4000;4;1;160;52;0,1656;159;4;0;0;0;0;0;0
4,3333;4160;4;1;320;52;0,1656;159;4;0;0;0;0;0;0
4,5000;4320;4;2;0;52;0,4990;479;12;1;1;1;1;1;0
5,0000;4800;5;1;0;56;0,2490;239;6;0;0;0;0;0;0
5,2500;5040;5;1;240;56;0,2490;239;6;0;0;0;0;0;0
5,5000;5280;5;2;0;56;0,3740;359;9;1;0;1;0;0;0
5,8750;5640;5;2;360;59;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;6;1;0;56;0,1656;159;4;1;0;1;0;0;0
6,1667;5920;6;1;160;52;0,1656;159;4;0;0;0;0;0;0
6,3333;6080;6;1;320;52;0,1656;159;4;0;0;0;0;0;0
6,5000;6240;6;2;0;52;0,4990;479;12;1;1;1;1;1;0
7,0000;6720;7;1;0;47;0,2490;239;6;0;0;0;0;0;0
7,2500;6960;7;1;240;47;0,2490;239;6;0;0;1;0;0;0
7,5000;7200;7;2;0;52;0,3740;359;9;1;0;0;0;0;0
7,8750;7560;7;2;360;52;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;8;1;0;52;0,1656;159;4;1;0;1;0;0;0
8,1667;7840;8;1;160;47;0,1656;159;4;0;0;0;0;0;0
8,3333;8000;8;1;320;47;0,1656;159;4;0;0;0;0;0;0
8,5000;8160;8;2;0;47;0,2490;239;6;1;1;1;1;1;0
9,0000;8640;9;1;0;52;0,3740;359;9;0;0;0;0;0;0
9,3750;9000;9;1;360;52;0,1240;119;3;0;0;0;0;0;0
9,5000;9120;9;2;0;52;0,3740;359;9;1;1;1;0;0;0
9,8750;9480;9;2;360;56;0,1240;119;3;0;0;0;0;0;0
10,0000;9600;10;1;0;56;0,1656;159;4;1;0;0;0;0;0
10,1667;9760;10;1;160;56;0,1656;159;4;0;0;1;0;0;0
10,3333;9920;10;1;320;52;0,1656;159;4;0;0;0;0;0;0
10,5000;10080;10;2;0;52;0,4990;479;12;1;1;1;1;1;0
11,0000;10560;11;1;0;59;0,2490;239;6;0;0;0;0;0;0
11,2500;10800;11;1;240;59;0,2490;239;6;0;0;1;0;0;0
11,5000;11040;11;2;0;56;0,1656;159;4;1;0;0;0;0;0
11,6667;11200;11;2;160;52;0,0823;79;2;0;0;1;1;0;0
11,8333;11360;11;2;320;56;0,1656;159;4;0;0;0;0;0;0
12,0000;11520;12;1;0;56;0,1656;159;4;1;0;0;0;0;0
12,1667;11680;12;1;160;56;0,1656;159;4;0;0;1;0;0;0
12,3333;11840;12;1;320;52;0,1656;159;4;0;0;0;0;0;0
12,5000;12000;12;2;0;52;0,4990;479;12;1;1;1;1;1;0
13,0000;12480;13;1;0;47;0,2490;239;6;0;0;0;0;0;0
13,2500;12720;13;1;240;47;0,2490;239;6;0;0;1;0;0;0
13,5000;12960;13;2;0;52;0,3740;359;9;1;0;0;0;0;0
13,8750;13320;13;2;360;52;0,1240;119;3;0;0;0;0;0;0
14,0000;13440;14;1;0;52;0,1656;159;4;1;1;1;0;0;0
14,1667;13600;14;1;160;47;0,1656;159;4;0;0;0;0;0;0
14,3333;13760;14;1;320;47;0,1656;159;4;0;0;0;0;0;0
14,5000;13920;14;2;0;47;0,4990;479;12;1;1;1;1;1;1
