Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;54;0,3740;359;18;0;0;1;0;0;0
0,3750;360;1;1;360;54;0,1240;119;6;0;0;0;0;0;0
0,5000;480;1;2;0;54;0,3740;359;18;0;1;1;1;0;0
0,8750;840;1;2;360;51;0,0615;59;3;0;1;0;0;0;0
1,0000;960;1;3;0;56;0,3740;359;18;0;1;1;0;0;0
1,3750;1320;1;3;360;54;0,1240;119;6;0;0;0;0;0;0
1,5000;1440;2;1;0;54;0,3740;359;18;1;0;1;0;1;0
1,8750;1800;2;1;360;54;0,1240;119;6;0;0;0;0;0;0
2,0000;1920;2;2;0;54;0,2490;239;12;1;0;1;0;0;0
2,2500;2160;2;2;240;51;0,1240;119;6;0;0;0;0;0;0
2,3750;2280;2;2;360;49;0,1240;119;6;0;0;0;0;0;0
2,5000;2400;2;3;0;49;0,3740;359;18;1;0;1;0;0;0
2,8750;2760;2;3;360;49;0,1240;119;6;0;0;0;0;0;0
3,0000;2880;3;1;0;47;0,3740;359;18;0;0;0;0;1;0
3,3750;3240;3;1;360;47;0,0615;59;3;1;1;1;1;0;0
3,5000;3360;3;2;0;56;0,2490;239;12;0;0;0;0;0;0
3,7500;3600;3;2;240;56;0,1240;119;6;0;0;0;0;0;0
3,8750;3720;3;2;360;56;0,1240;119;6;0;0;0;0;0;0
4,0000;3840;3;3;0;54;0,3740;359;18;1;0;1;0;0;0
4,3750;4200;3;3;360;54;0,1240;119;6;0;0;0;0;0;0
4,5000;4320;4;1;0;54;0,1656;159;8;0;0;0;0;0;0
4,6667;4480;4;1;160;56;0,1656;159;8;0;0;0;0;0;0
4,8333;4640;4;1;320;54;0,1656;159;8;0;0;0;0;0;0
5,0000;4800;4;2;0;49;0,3740;359;18;1;1;1;0;1;0
5,3750;5160;4;2;360;49;0,1240;119;6;0;0;0;0;0;0
5,5000;5280;4;3;0;47;0,3740;359;18;0;0;0;0;0;0
5,8750;5640;4;3;360;47;0,0615;59;3;1;1;1;1;0;0
6,0000;5760;5;1;0;56;0,3740;359;18;0;0;0;0;0;0
6,3750;6120;5;1;360;56;0,1240;119;6;0;0;0;0;0;0
6,5000;6240;5;2;0;54;0,3740;359;18;1;0;1;0;0;0
6,8750;6600;5;2;360;54;0,1240;119;6;0;0;0;0;0;0
7,0000;6720;5;3;0;54;0,2490;239;12;0;0;1;0;0;0
7,2500;6960;5;3;240;54;0,0615;59;3;0;0;0;0;0;0
7,3125;7020;5;3;300;51;0,0615;59;3;1;1;1;1;0;0
7,5000;7200;6;1;0;56;0,4990;479;24;0;0;0;0;1;1
8,0000;7680;6;2;0;56;0,3740;359;18;0;0;0;0;0;0
8,3750;8040;6;2;360;54;0,1240;119;6;0;0;0;0;0;0
8,5000;8160;6;3;0;56;0,3740;359;18;1;1;1;0;0;0
8,8750;8520;6;3;360;56;0,1240;119;6;0;0;0;0;0;0
9,0000;8640;7;1;0;54;0,3740;359;18;1;0;1;1;0;0
9,3750;9000;7;1;360;54;0,1240;119;6;0;0;0;0;0;0
9,5000;9120;7;2;0;54;0,2490;239;12;0;0;1;0;0;0
9,7500;9360;7;2;240;54;0,0615;59;3;0;0;0;0;0;0
9,8125;9420;7;2;300;51;0,0615;59;3;1;1;1;1;0;0
10,0000;9600;7;3;0;56;0,3740;359;18;0;0;0;0;1;0
10,3750;9960;7;3;360;56;0,1240;119;6;0;0;0;0;0;0
10,5000;10080;8;1;0;54;0,2490;239;12;0;0;1;0;0;0
10,7500;10320;8;1;240;54;0,0615;59;3;0;0;0;0;0;0
10,8125;10380;8;1;300;51;0,0615;59;3;1;1;1;1;0;0
11,0000;10560;8;2;0;56;0,3740;359;18;0;0;0;0;0;0
11,3750;10920;8;2;360;56;0,1240;119;6;0;0;0;0;0;0
11,5000;11040;8;3;0;54;0,3740;359;18;1;0;1;0;0;0
11,8750;11400;8;3;360;54;0,1240;119;6;0;0;0;0;0;0
12,0000;11520;9;1;0;54;0,2490;239;12;1;0;1;0;0;0
12,2500;11760;9;1;240;54;0,0615;59;3;0;0;0;0;0;0
12,3125;11820;9;1;300;51;0,0615;59;3;1;1;1;1;1;1
