Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;60;0,2490;239;2;0;0;0;0;0;0
1,0000;960;2;1;0;60;0,4990;479;4;1;1;1;0;0;0
1,5000;1440;2;2;0;59;0,2490;239;2;0;0;0;0;0;0
1,7500;1680;2;2;240;59;0,2490;239;2;0;0;0;0;0;0
2,0000;1920;3;1;0;59;0,4990;479;4;1;0;1;1;1;0
2,8750;2760;3;2;360;59;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;4;1;0;59;0,2490;239;2;1;1;1;0;0;0
3,5000;3360;4;2;0;59;0,2490;239;2;0;0;0;0;0;0
3,7500;3600;4;2;240;59;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;5;1;0;59;0,2490;239;2;1;0;1;0;0;0
4,7500;4560;5;2;240;59;0,2490;239;2;0;0;0;0;0;0
5,0000;4800;6;1;0;59;0,1240;119;1;0;0;0;0;0;0
5,2500;5040;6;1;240;60;0,2490;239;2;0;1;1;1;1;0
6,2500;6000;7;1;240;60;0,4990;479;4;0;1;0;0;0;0
6,7500;6480;7;2;240;59;0,2490;239;2;0;0;0;0;0;0
7,0000;6720;8;1;0;59;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;8;1;240;59;0,4990;479;4;1;0;1;0;0;0
8,1250;7800;9;1;120;59;0,1240;119;1;0;0;0;0;0;0
8,2500;7920;9;1;240;59;0,2490;239;2;1;1;1;0;0;0
8,7500;8400;9;2;240;59;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;10;1;0;59;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;10;1;240;59;0,2490;239;2;1;0;1;1;1;0
10,0000;9600;11;1;0;59;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;11;1;240;59;0,1240;119;1;1;1;1;0;0;0
10,5000;10080;11;2;0;60;0,9990;959;8;0;0;0;0;0;0
11,5000;11040;12;2;0;60;0,4990;479;4;1;1;1;1;1;1
