Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;64;0,1240;119;2;0;0;0;0;0;0
0,1250;120;1;1;120;64;0,1240;119;2;0;0;0;0;0;0
0,2500;240;1;1;240;64;0,2490;239;4;1;0;1;0;0;0
0,5000;480;1;2;0;63;0,1240;119;2;0;0;0;0;0;0
0,6250;600;1;2;120;63;0,1240;119;2;0;0;0;0;0;0
0,7500;720;1;2;240;63;0,7490;719;12;1;1;1;1;1;1
1,5000;1440;2;2;0;61;0,1240;119;2;0;0;0;0;0;0
1,6250;1560;2;2;120;61;0,1240;119;2;0;0;0;0;0;0
1,7500;1680;2;2;240;61;0,2490;239;4;1;0;1;0;0;0
2,0000;1920;3;1;0;56;0,1240;119;2;0;0;0;0;0;0
2,1250;2040;3;1;120;56;0,1240;119;2;0;0;0;0;0;0
2,2500;2160;3;1;240;56;0,7490;719;12;1;1;1;1;0;1
3,0000;2880;4;1;0;63;0,1240;119;2;0;0;0;0;0;0
3,1250;3000;4;1;120;63;0,1240;119;2;0;0;0;0;0;0
3,2500;3120;4;1;240;63;0,2490;239;4;1;0;1;0;0;0
3,5000;3360;4;2;0;61;0,1240;119;2;0;0;0;0;0;0
3,6250;3480;4;2;120;61;0,1240;119;2;0;0;0;0;0;0
3,7500;3600;4;2;240;61;0,7490;719;12;1;1;1;1;1;1
4,5000;4320;5;2;0;58;0,1240;119;2;0;0;0;0;0;0
4,6250;4440;5;2;120;58;0,1240;119;2;0;0;0;0;0;0
4,7500;4560;5;2;240;61;0,2490;239;4;1;0;1;0;0;0
5,0000;4800;6;1;0;58;0,1240;119;2;0;0;0;0;0;0
5,1250;4920;6;1;120;58;0,1240;119;2;0;0;0;0;0;0
5,2500;5040;6;1;240;61;0,2490;239;4;1;1;1;1;0;0
5,5000;5280;6;2;0;57;0,1240;119;2;0;0;0;0;0;0
5,6250;5400;6;2;120;57;0,1240;119;2;0;0;0;0;0;0
5,7500;5520;6;2;240;57;0,2490;239;4;1;0;1;0;0;0
6,0000;5760;7;1;0;56;0,1240;119;2;0;0;0;0;0;0
6,1250;5880;7;1;120;56;0,1240;119;2;0;0;0;0;0;0
6,2500;6000;7;1;240;56;0,7490;719;12;1;1;1;1;1;1
7,0000;6720;8;1;0;61;0,1240;119;2;0;0;0;0;0;0
7,1250;6840;8;1;120;61;0,1240;119;2;0;0;0;0;0;0
7,2500;6960;8;1;240;61;0,2490;239;4;1;0;1;0;0;0
7,5000;7200;8;2;0;56;0,1240;119;2;0;0;0;0;0;0
7,6250;7320;8;2;120;56;0,1240;119;2;0;0;0;0;0;0
7,7500;7440;8;2;240;54;0,7490;719;12;1;1;1;1;1;1
8,5000;8160;9;2;0;56;0,1240;119;2;0;0;0;0;0;0
8,6250;8280;9;2;120;56;0,1240;119;2;0;0;0;0;0;0
8,7500;8400;9;2;240;56;0,1865;179;3;0;0;0;0;0;0
8,9375;8580;9;2;420;56;0,0615;59;1;1;0;0;0;0;0
9,0000;8640;10;1;0;54;0,1240;119;2;0;0;1;0;0;0
9,1250;8760;10;1;120;51;0,1240;119;2;0;0;0;0;0;0
9,2500;8880;10;1;240;51;0,7490;719;12;1;1;1;1;1;1
10,0000;9600;11;1;0;49;0,1240;119;2;0;0;0;0;0;0
10,1250;9720;11;1;120;49;0,1240;119;2;0;0;0;0;0;0
10,2500;9840;11;1;240;49;0,2490;239;4;1;0;1;0;0;0
10,5000;10080;11;2;0;46;0,1240;119;2;0;0;0;0;0;0
10,6250;10200;11;2;120;46;0,1240;119;2;0;0;0;0;0;0
10,7500;10320;11;2;240;49;0,2490;239;4;1;0;1;0;0;0
11,0000;10560;12;1;0;46;0,1240;119;2;0;0;0;0;0;0
11,1250;10680;12;1;120;46;0,1240;119;2;0;0;0;0;0;0
11,2500;10800;12;1;240;46;0,2490;239;4;1;0;1;0;0;0
11,5000;11040;12;2;0;46;0,1240;119;2;0;0;0;0;0;0
11,6250;11160;12;2;120;46;0,1240;119;2;0;0;0;0;0;0
11,7500;11280;12;2;240;46;0,9990;959;16;1;1;1;1;1;1
