Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;52;0,4990;479;4;0;0;0;1;0;0
0,5000;480;1;2;0;52;0,4990;479;4;0;0;0;0;0;1
1,0000;960;2;1;0;52;0,4990;479;4;0;0;0;0;0;1
1,5000;1440;2;2;0;52;0,4990;479;4;0;1;0;1;0;1
2,0000;1920;3;1;0;54;0,2490;239;2;0;1;0;1;0;0
2,2500;2160;3;1;240;52;0,1240;119;1;0;0;0;0;0;0
2,3750;2280;3;1;360;52;0,1240;119;1;0;0;0;0;0;0
2,5000;2400;3;2;0;54;0,2490;239;2;1;1;1;0;0;0
2,7500;2640;3;2;240;52;0,1240;119;1;0;0;0;0;0;0
2,8750;2760;3;2;360;52;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;4;1;0;52;0,4990;479;4;0;0;0;0;1;1
3,5000;3360;4;2;0;52;0,4990;479;4;0;1;1;0;0;1
4,0000;3840;5;1;0;54;0,3740;359;3;0;0;0;0;0;0
4,3750;4200;5;1;360;54;0,1240;119;1;0;0;0;0;0;0
4,5000;4320;5;2;0;54;0,8740;839;7;1;1;1;1;0;1
5,3750;5160;6;1;360;52;0,1240;119;1;0;0;0;0;0;0
5,5000;5280;6;2;0;54;0,9990;959;8;0;0;1;0;1;1
6,5000;6240;7;2;0;54;0,9990;959;8;0;0;0;0;0;1
7,5000;7200;8;2;0;54;0,2490;239;2;1;0;1;1;0;0
7,7500;7440;8;2;240;52;0,1240;119;1;0;0;0;0;0;0
7,8750;7560;8;2;360;52;0,1240;119;1;0;0;1;0;0;0
8,0000;7680;9;1;0;54;0,2490;239;2;1;0;0;0;0;0
8,2500;7920;9;1;240;52;0,1240;119;1;0;0;0;0;0;0
8,3750;8040;9;1;360;47;0,1240;119;1;1;0;1;1;0;0
8,5000;8160;9;2;0;52;0,4990;479;4;0;0;0;0;0;0
9,0000;8640;10;1;0;52;0,4990;479;4;1;1;1;1;1;1
