Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;70;0,3740;359;3;0;0;0;0;0;0
0,3750;360;1;1;360;70;0,1240;119;1;0;0;0;0;0;0
0,5000;480;1;2;0;71;0,3740;359;3;1;0;1;0;0;0
0,8750;840;1;2;360;70;0,1240;119;1;0;0;0;0;0;0
1,0000;960;1;3;0;70;0,3740;359;3;1;1;1;1;0;0
1,3750;1320;1;3;360;68;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;2;1;0;71;0,3740;359;3;1;1;1;0;0;0
1,8750;1800;2;1;360;70;0,1240;119;1;0;0;0;0;0;0
2,0000;1920;2;2;0;70;0,4990;479;4;0;0;0;0;0;1
2,5000;2400;2;3;0;68;0,4990;479;4;0;0;1;0;0;1
3,0000;2880;3;1;0;63;0,3740;359;3;0;0;0;0;0;0
3,3750;3240;3;1;360;63;0,1240;119;1;0;0;0;0;0;0
3,5000;3360;3;2;0;63;0,9990;959;8;1;1;1;1;1;1
4,5000;4320;4;1;0;68;0,3740;359;3;0;0;0;0;0;0
4,8750;4680;4;1;360;68;0,1240;119;1;0;0;0;0;0;0
5,0000;4800;4;2;0;70;0,3740;359;3;1;0;1;0;0;0
5,3750;5160;4;2;360;68;0,1240;119;1;0;0;0;0;0;0
5,5000;5280;4;3;0;68;0,2490;239;2;0;0;1;1;0;0
5,7500;5520;4;3;240;63;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;5;1;0;68;0,2490;239;2;0;0;1;0;0;0
6,2500;6000;5;1;240;63;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;5;2;0;63;0,4990;479;4;1;1;1;1;1;1
7,0000;6720;5;3;0;59;0,3740;359;3;0;0;0;0;0;0
7,3750;7080;5;3;360;58;0,1240;119;1;0;0;0;0;0;0
7,5000;7200;6;1;0;59;0,3740;359;3;1;1;1;0;0;0
7,8750;7560;6;1;360;58;0,1240;119;1;0;0;0;0;0;0
8,0000;7680;6;2;0;58;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;6;2;240;58;0,2490;239;2;0;0;0;0;0;0
8,5000;8160;6;3;0;56;0,4990;479;4;1;0;1;0;0;1
9,0000;8640;7;1;0;58;0,3740;359;3;0;0;0;0;0;0
9,3750;9000;7;1;360;58;0,1240;119;1;0;0;0;0;0;0
9,5000;9120;7;2;0;59;0,3740;359;3;1;0;1;1;1;0
9,8750;9480;7;2;360;58;0,1240;119;1;0;0;0;0;0;0
10,0000;9600;7;3;0;58;0,2490;239;2;0;0;1;0;0;0
10,2500;9840;7;3;240;56;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;8;1;0;59;0,3740;359;3;1;1;1;0;0;0
10,8750;10440;8;1;360;58;0,1240;119;1;0;0;0;0;0;0
11,0000;10560;8;2;0;58;0,4990;479;4;0;0;0;0;0;1
11,5000;11040;8;3;0;56;0,4990;479;4;0;0;1;1;0;1
12,0000;11520;9;1;0;51;0,3740;359;3;0;1;0;0;0;0
12,3750;11880;9;1;360;51;0,1240;119;1;0;0;0;0;0;0
12,5000;12000;9;2;0;51;0,9990;959;8;1;1;1;1;1;1
