Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;56;0,4990;479;4;0;0;0;0;0;0
0,5000;480;1;2;0;56;0,4990;479;4;0;0;0;0;0;0
1,0000;960;1;3;0;56;0,4990;479;4;1;0;1;1;0;0
1,5000;1440;2;1;0;66;0,1240;119;1;0;0;0;0;0;0
1,6250;1560;2;1;120;66;0,3740;359;3;1;0;1;0;0;0
2,0000;1920;2;2;0;66;0,1240;119;1;0;0;0;0;0;0
2,1250;2040;2;2;120;68;0,3740;359;3;1;0;1;0;0;0
2,5000;2400;2;3;0;68;0,1240;119;1;0;0;0;0;0;0
2,6250;2520;2;3;120;66;0,3740;359;3;1;1;1;1;1;0
3,0000;2880;3;1;0;61;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;3;1;240;61;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;3;2;0;61;0,2490;239;2;1;0;1;0;0;0
3,7500;3600;3;2;240;63;0,1240;119;1;0;0;0;0;0;0
3,8750;3720;3;2;360;61;0,1240;119;1;1;0;1;0;0;0
4,0000;3840;3;3;0;59;0,2490;239;2;0;0;0;0;0;0
4,2500;4080;3;3;240;59;0,2490;239;2;0;0;0;0;0;0
4,5000;4320;4;1;0;59;0,2490;239;2;1;0;1;0;0;0
4,7500;4560;4;1;240;56;0,2490;239;2;0;0;0;0;1;0
5,0000;4800;4;2;0;56;0,2490;239;2;1;0;1;0;0;0
5,2500;5040;4;2;240;61;0,1240;119;1;0;0;0;0;0;0
5,3750;5160;4;2;360;61;0,3740;359;3;1;0;1;1;0;0
5,7500;5520;4;3;240;61;0,1240;119;1;0;0;0;0;0;0
5,8750;5640;4;3;360;63;0,3740;359;3;1;0;1;0;0;0
6,2500;6000;5;1;240;63;0,1240;119;1;0;0;0;0;0;0
6,3750;6120;5;1;360;61;0,3740;359;3;1;1;1;0;0;0
6,7500;6480;5;2;240;56;0,2490;239;2;0;0;0;0;0;0
7,0000;6720;5;3;0;56;0,1240;119;1;0;0;0;0;0;0
7,2500;6960;5;3;240;61;0,4990;479;4;1;0;1;1;1;0
7,7500;7440;6;1;240;59;0,1240;119;1;0;0;0;0;0;0
7,8750;7560;6;1;360;59;0,3740;359;3;1;1;1;0;0;0
8,2500;7920;6;2;240;61;0,2490;239;2;0;0;0;0;0;0
8,5000;8160;6;3;0;59;0,2490;239;2;1;0;1;0;0;0
8,7500;8400;6;3;240;56;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;7;1;0;56;0,2490;239;2;0;0;0;0;0;0
