Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;60;0,4990;479;4;0;0;0;0;0;0
0,5000;480;1;2;0;60;0,9990;959;8;1;1;1;0;0;1
1,5000;1440;2;2;0;62;0,2490;239;2;0;0;0;0;0;0
1,7500;1680;2;2;240;60;0,2490;239;2;0;0;0;0;0;0
2,0000;1920;3;1;0;60;0,9990;959;8;1;0;1;1;1;1
3,0000;2880;4;1;0;59;0,1240;119;1;0;0;0;0;0;0
3,1250;3000;4;1;120;58;0,1240;119;1;0;0;0;0;0;0
3,2500;3120;4;1;240;57;0,1240;119;1;0;0;0;0;0;0
3,3750;3240;4;1;360;56;0,1240;119;1;0;0;0;0;0;0
3,5000;3360;4;2;0;55;0,4990;479;4;1;1;1;0;0;0
4,0000;3840;5;1;0;53;0,2490;239;2;0;0;0;0;0;0
4,2500;4080;5;1;240;53;0,2490;239;2;0;0;0;0;0;0
4,5000;4320;5;2;0;53;1,4990;1439;12;1;0;1;1;1;1
6,0000;5760;7;1;0;55;0,4990;479;4;0;0;0;0;0;0
6,5000;6240;7;2;0;55;0,9990;959;8;1;1;1;0;0;1
7,5000;7200;8;2;0;60;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;8;2;240;55;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;9;1;0;55;0,9990;959;8;1;0;1;0;1;1
9,0000;8640;10;1;0;55;0,1240;119;1;0;0;0;0;0;0
9,1250;8760;10;1;120;53;0,1240;119;1;0;0;0;0;0;0
9,2500;8880;10;1;240;52;0,1240;119;1;0;0;0;0;0;0
9,3750;9000;10;1;360;51;0,1240;119;1;0;0;0;0;0;0
9,5000;9120;10;2;0;50;0,4990;479;4;1;1;1;0;0;0
10,0000;9600;11;1;0;48;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;11;1;240;48;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;11;2;0;48;0,9990;959;8;1;0;0;0;0;1
11,5000;11040;12;2;0;48;0,4990;479;4;0;0;0;0;0;0
12,0000;11520;13;1;0;53;0,9990;959;8;1;1;1;0;1;1
13,0000;12480;14;1;0;60;0,2490;239;2;0;0;0;0;0;0
13,2500;12720;14;1;240;55;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;14;2;0;55;0,9990;959;8;1;0;1;1;0;1
14,5000;13920;15;2;0;55;0,1240;119;1;0;0;0;0;0;0
14,6250;14040;15;2;120;53;0,1240;119;1;0;0;0;0;0;0
14,7500;14160;15;2;240;52;0,1240;119;1;0;0;0;0;0;0
14,8750;14280;15;2;360;51;0,1240;119;1;0;0;0;0;0;0
15,0000;14400;16;1;0;50;0,4990;479;4;1;1;1;0;0;0
15,5000;14880;16;2;0;48;0,2490;239;2;0;0;0;0;0;0
15,7500;15120;16;2;240;48;0,2490;239;2;0;0;0;0;0;0
16,0000;15360;17;1;0;48;1,4990;1439;12;1;0;1;1;1;1
17,5000;16800;18;2;0;60;0,2490;239;2;0;0;0;0;0;0
17,7500;17040;18;2;240;55;0,2490;239;2;0;0;0;0;0;0
18,0000;17280;19;1;0;60;0,2490;239;2;1;0;1;0;0;0
18,2500;17520;19;1;240;57;0,2490;239;2;0;0;0;0;0;0
18,5000;17760;19;2;0;57;0,2490;239;2;0;0;1;0;0;0
18,7500;18000;19;2;240;55;0,2490;239;2;0;0;0;0;0;0
19,0000;18240;20;1;0;60;0,4990;479;4;0;0;0;0;0;0
19,5000;18720;20;2;0;55;0,4990;479;4;1;0;1;0;0;0
20,0000;19200;21;1;0;53;0,2490;239;2;0;0;0;0;0;0
20,2500;19440;21;1;240;53;0,2490;239;2;0;0;0;0;0;0
20,5000;19680;21;2;0;53;0,9990;959;8;1;0;1;0;1;1
21,5000;20640;22;2;0;55;0,4990;479;4;0;0;0;0;0;0
22,0000;21120;23;1;0;53;0,9990;959;8;1;1;1;1;0;1
23,0000;22080;24;1;0;60;0,2490;239;2;0;0;0;0;0;0
23,2500;22320;24;1;240;55;0,2490;239;2;0;0;0;0;0;0
23,5000;22560;24;2;0;55;0,9990;959;8;1;0;1;0;1;1
24,5000;23520;25;2;0;55;0,1240;119;1;0;0;0;0;0;0
24,6250;23640;25;2;120;53;0,1240;119;1;0;0;0;0;0;0
24,7500;23760;25;2;240;52;0,1240;119;1;0;0;0;0;0;0
24,8750;23880;25;2;360;51;0,1240;119;1;0;0;0;0;0;0
25,0000;24000;26;1;0;50;0,4990;479;4;1;1;1;0;0;0
25,5000;24480;26;2;0;48;0,2490;239;2;0;0;0;0;0;0
25,7500;24720;26;2;240;48;0,2490;239;2;0;0;0;0;0;0
26,0000;24960;27;1;0;48;0,9990;959;8;1;1;1;1;1;1
