Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;60;0,9990;959;4;0;0;0;0;0;0
1,0000;960;2;1;0;60;0,4990;479;2;1;1;1;0;0;0
1,5000;1440;2;2;0;58;0,2490;239;1;0;0;0;0;0;0
1,7500;1680;2;2;240;55;0,2490;239;1;0;0;0;0;0;0
2,0000;1920;3;1;0;58;0,9990;959;4;1;0;1;0;1;0
3,0000;2880;4;1;0;55;0,7490;719;3;0;0;0;0;0;0
3,7500;3600;4;2;240;53;0,2490;239;1;0;0;0;0;0;0
4,0000;3840;5;1;0;58;1,4990;1439;6;1;1;1;1;0;0
5,5000;5280;6;2;0;53;0,4990;479;2;0;0;0;0;0;0
6,0000;5760;7;1;0;53;0,4990;479;2;0;0;0;0;0;0
6,5000;6240;7;2;0;51;0,4990;479;2;1;0;0;0;0;0
7,0000;6720;8;1;0;48;0,2490;239;1;0;0;1;0;0;0
7,2500;6960;8;1;240;46;0,2490;239;1;0;0;0;0;0;0
7,5000;7200;8;2;0;46;0,2490;239;1;0;0;1;1;0;0
8,0000;7680;9;1;0;48;0,9990;959;4;1;1;0;0;1;0
9,0000;8640;10;1;0;51;0,4990;479;2;0;0;0;0;0;0
9,5000;9120;10;2;0;51;0,2490;239;1;0;0;1;0;0;0
9,7500;9360;10;2;240;48;0,2490;239;1;0;0;0;0;0;0
10,0000;9600;11;1;0;51;0,4990;479;2;0;0;1;0;0;0
10,5000;10080;11;2;0;48;0,4990;479;2;1;0;0;0;0;0
11,0000;10560;12;1;0;48;0,2490;239;1;0;0;1;1;0;0
11,2500;10800;12;1;240;46;0,2490;239;1;0;0;0;0;0;0
11,5000;11040;12;2;0;46;0,4990;479;2;1;0;0;0;0;0
12,0000;11520;13;1;0;46;0,9990;959;4;0;0;0;0;1;0
13,0000;12480;14;1;0;46;0,9990;959;4;0;0;1;1;0;0
14,0000;13440;15;1;0;53;0,9990;959;4;0;0;0;0;0;0
15,0000;14400;16;1;0;53;0,7490;719;3;1;0;1;0;0;0
15,7500;15120;16;2;240;51;0,2490;239;1;0;0;0;0;0;0
16,0000;15360;17;1;0;53;0,4990;479;2;0;0;0;0;0;0
16,5000;15840;17;2;0;51;0,4990;479;2;0;0;0;0;0;0
17,0000;16320;18;1;0;48;0,9990;959;4;1;1;0;0;1;0
18,0000;17280;19;1;0;48;0,4990;479;2;0;0;1;1;0;0
18,5000;17760;19;2;0;51;0,4990;479;2;0;0;0;0;0;0
19,0000;18240;20;1;0;51;0,4990;479;2;1;0;0;0;0;0
19,5000;18720;20;2;0;51;0,2490;239;1;0;0;1;0;0;0
19,7500;18960;20;2;240;48;0,2490;239;1;0;0;0;0;0;0
20,0000;19200;21;1;0;51;0,4990;479;2;1;0;0;0;0;0
20,5000;19680;21;2;0;48;0,4990;479;2;0;0;1;0;0;0
21,0000;20160;22;1;0;46;0,4990;479;2;0;0;0;0;0;0
21,5000;20640;22;2;0;46;0,4990;479;2;0;0;0;0;0;0
22,0000;21120;23;1;0;46;0,9990;959;4;1;1;1;1;1;1
