Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,5000;480;1;2;0;60;0,2490;239;6;0;0;0;0;0;0
0,7500;720;1;2;240;60;0,2490;239;6;0;0;0;0;0;0
1,0000;960;1;3;0;62;0,4990;479;12;1;1;1;0;0;0
1,5000;1440;2;1;0;60;0,1656;159;4;0;0;0;0;0;0
1,6667;1600;2;1;160;60;0,1656;159;4;0;0;0;0;0;0
1,8333;1760;2;1;320;60;0,1656;159;4;0;0;0;0;0;0
2,0000;1920;2;2;0;60;0,7490;719;18;1;1;1;0;1;0
2,7500;2640;2;3;240;60;0,2490;239;6;0;0;0;0;0;0
3,0000;2880;3;1;0;60;0,4990;479;12;0;0;0;0;0;0
3,5000;3360;3;2;0;60;0,9990;959;24;1;0;1;1;0;1
4,5000;4320;4;1;0;60;0,2490;239;6;0;0;0;0;0;0
4,7500;4560;4;1;240;60;0,2490;239;6;0;0;0;0;0;0
5,0000;4800;4;2;0;60;0,2490;239;6;0;0;1;0;0;0
5,2500;5040;4;2;240;57;0,2490;239;6;0;0;0;0;0;0
5,5000;5280;4;3;0;58;0,4990;479;12;0;0;0;0;0;0
6,0000;5760;5;1;0;57;0,4990;479;12;1;1;1;1;1;0
6,8750;6600;5;2;360;60;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;5;3;0;60;0,1240;119;3;0;0;0;0;0;0
7,1250;6840;5;3;120;57;0,3740;359;9;0;0;0;0;0;0
7,5000;7200;6;1;0;57;0,7490;719;18;1;0;1;0;0;0
8,2500;7920;6;2;240;53;0,2490;239;6;0;0;0;0;0;0
8,5000;8160;6;3;0;57;0,2490;239;6;0;0;1;0;0;0
8,7500;8400;6;3;240;53;0,2490;239;6;0;0;0;0;0;0
9,0000;8640;7;1;0;53;0,2490;239;6;0;0;0;0;0;0
9,2500;8880;7;1;240;52;0,2490;239;6;0;0;1;0;0;0
9,5000;9120;7;2;0;48;0,4990;479;12;0;0;0;0;0;0
10,0000;9600;7;3;0;48;0,4990;479;12;1;0;1;1;1;0
10,7500;10320;8;1;240;48;0,2490;239;6;0;0;0;0;0;0
11,0000;10560;8;2;0;48;0,3740;359;9;1;1;1;0;0;0
11,3750;10920;8;2;360;58;0,1240;119;3;0;0;0;0;0;0
11,5000;11040;8;3;0;58;0,4990;479;12;0;0;0;0;0;0
12,0000;11520;9;1;0;58;0,2490;239;6;1;0;1;0;0;0
12,3750;11880;9;1;360;60;0,1240;119;3;0;0;0;0;0;0
12,5000;12000;9;2;0;60;0,1240;119;3;0;0;1;0;0;0
12,6250;12120;9;2;120;57;0,2490;239;6;0;0;0;0;0;0
12,8750;12360;9;2;360;57;0,1240;119;3;0;0;0;0;0;0
13,0000;12480;9;3;0;57;0,1240;119;3;0;0;0;0;0;0
13,1250;12600;9;3;120;53;0,3740;359;9;1;0;1;1;1;0
13,5000;12960;10;1;0;57;0,1240;119;3;0;0;0;0;0;0
13,6250;13080;10;1;120;53;0,3740;359;9;1;1;1;0;0;0
14,0000;13440;10;2;0;53;0,1240;119;3;0;0;0;0;0;0
14,1250;13560;10;2;120;52;0,3740;359;9;0;0;1;0;0;0
14,5000;13920;10;3;0;48;0,3740;359;9;0;0;0;0;0;0
14,8750;14280;10;3;360;48;0,1240;119;3;0;0;0;0;0;0
15,0000;14400;11;1;0;48;0,4990;479;12;0;0;0;0;1;0
15,5000;14880;11;2;0;48;0,4990;479;12;1;0;1;1;0;0
16,0000;15360;11;3;0;53;0,2490;239;6;0;0;0;0;0;0
16,2500;15600;11;3;240;53;0,2490;239;6;0;0;0;0;0;0
16,5000;15840;12;1;0;52;0,2490;239;6;1;0;0;0;0;0
16,7500;16080;12;1;240;52;0,1240;119;3;0;0;1;0;0;0
16,8750;16200;12;1;360;48;0,1240;119;3;0;0;0;0;0;0
17,0000;16320;12;2;0;48;0,4990;479;12;0;0;0;0;0;0
17,5000;16800;12;3;0;48;0,4990;479;12;1;0;1;1;1;0
18,3750;17640;13;1;360;48;0,1240;119;3;0;0;0;0;0;0
18,5000;17760;13;2;0;48;0,4990;479;12;1;1;1;0;0;0
19,0000;18240;13;3;0;60;0,2490;239;6;0;0;0;0;0;0
19,2500;18480;13;3;240;60;0,2490;239;6;1;1;1;1;1;1
