Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;64;0,1240;119;1;0;0;0;0;0;0
0,1250;120;1;1;120;64;0,1240;119;1;1;0;1;1;0;0
0,2500;240;1;1;240;62;0,1240;119;1;0;0;0;0;0;0
0,3750;360;1;1;360;62;0,1240;119;1;0;0;1;0;0;0
0,5000;480;1;2;0;60;0,1240;119;1;0;0;0;0;0;0
0,6250;600;1;2;120;62;0,3740;359;3;1;1;1;0;0;0
1,0000;960;2;1;0;60;0,2490;239;2;0;0;0;0;0;0
1,2500;1200;2;1;240;57;0,2490;239;2;0;0;0;0;0;0
1,5000;1440;2;2;0;55;0,1240;119;1;0;0;0;0;0;0
1,6250;1560;2;2;120;60;0,3740;359;3;1;1;1;1;1;0
2,0000;1920;3;1;0;62;0,1240;119;1;0;0;0;0;0;0
2,1250;2040;3;1;120;60;0,1240;119;1;1;0;1;0;0;0
2,2500;2160;3;1;240;57;0,1240;119;1;0;0;0;0;0;0
2,3750;2280;3;1;360;57;0,1240;119;1;0;0;0;0;0;0
2,5000;2400;3;2;0;57;0,3740;359;3;1;1;1;1;0;0
2,8750;2760;3;2;360;62;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;4;1;0;60;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;4;1;240;57;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;4;2;0;55;0,1240;119;1;0;0;1;0;0;0
3,6250;3480;4;2;120;60;0,3740;359;3;1;1;1;1;1;1
