Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;60;0,2490;239;1;0;1;0;1;0;0
0,2500;240;1;1;240;60;0,2490;239;1;0;0;0;0;0;0
0,5000;480;1;2;0;60;0,2490;239;1;0;0;0;0;0;0
0,7500;720;1;2;240;60;0,2490;239;1;0;0;0;0;0;0
1,0000;960;2;1;0;60;0,9990;959;4;1;1;1;1;1;1
2,0000;1920;3;1;0;55;0,2490;239;1;0;0;0;0;0;0
2,2500;2160;3;1;240;55;0,2490;239;1;0;0;0;0;0;0
2,5000;2400;3;2;0;55;0,4990;479;2;1;0;1;0;0;0
3,0000;2880;4;1;0;55;0,2490;239;1;0;0;0;0;0;0
3,2500;3120;4;1;240;55;0,2490;239;1;0;0;0;0;0;0
3,5000;3360;4;2;0;53;1,9990;1919;8;1;1;1;1;1;1
5,5000;5280;6;2;0;58;0,2490;239;1;0;0;0;0;0;0
5,7500;5520;6;2;240;58;0,2490;239;1;0;0;0;0;0;0
6,0000;5760;7;1;0;58;0,2490;239;1;0;0;0;0;0;0
6,2500;6000;7;1;240;58;0,2490;239;1;0;0;0;0;0;0
6,5000;6240;7;2;0;58;0,9990;959;4;1;0;1;0;0;1
7,5000;7200;8;2;0;58;0,2490;239;1;0;0;0;0;0;0
7,7500;7440;8;2;240;58;0,2490;239;1;0;0;1;0;0;0
8,0000;7680;9;1;0;55;0,4990;479;2;1;0;0;0;0;0
8,5000;8160;9;2;0;55;0,2490;239;1;0;0;0;0;0;0
8,7500;8400;9;2;240;55;0,2490;239;1;0;0;0;0;0;0
9,0000;8640;10;1;0;53;0,9990;959;4;1;1;1;1;1;1
10,0000;9600;11;1;0;50;0,2490;239;1;0;0;0;0;0;0
10,2500;9840;11;1;240;50;0,2490;239;1;0;0;0;0;0;0
10,5000;10080;11;2;0;50;0,2490;239;1;0;0;1;0;0;0
10,7500;10320;11;2;240;53;0,2490;239;1;0;0;0;0;0;0
11,0000;10560;12;1;0;53;0,9990;959;4;1;0;1;1;0;1
12,0000;11520;13;1;0;53;0,2490;239;1;0;0;0;0;0;0
12,2500;11760;13;1;240;53;0,2490;239;1;0;0;1;0;0;0
12,5000;12000;13;2;0;50;0,4990;479;2;1;1;0;0;0;0
13,0000;12480;14;1;0;50;0,2490;239;1;0;0;1;0;0;0
13,2500;12720;14;1;240;48;0,2490;239;1;0;0;0;0;0;0
13,5000;12960;14;2;0;48;0,9990;959;4;1;0;1;1;1;1
14,5000;13920;15;2;0;48;0,2490;239;1;0;0;0;0;0;0
14,7500;14160;15;2;240;48;0,2490;239;1;0;0;0;0;0;0
15,0000;14400;16;1;0;48;0,2490;239;1;0;0;0;0;0;0
15,2500;14640;16;1;240;48;0,2490;239;1;0;0;0;0;0;0
15,5000;14880;16;2;0;48;0,9990;959;4;1;0;1;1;0;1
16,5000;15840;17;2;0;48;0,2490;239;1;0;0;0;0;0;0
16,7500;16080;17;2;240;48;0,2490;239;1;0;0;0;0;0;0
17,0000;16320;18;1;0;46;0,4990;479;2;1;1;1;0;0;0
17,5000;16800;18;2;0;43;0,2490;239;1;0;0;0;0;0;0
17,7500;17040;18;2;240;43;0,2490;239;1;0;0;0;0;0;0
18,0000;17280;19;1;0;41;1,9990;1919;8;1;0;1;1;1;1
20,0000;19200;21;1;0;60;0,2490;239;1;0;0;0;0;0;0
20,2500;19440;21;1;240;60;0,2490;239;1;0;0;0;0;0;0
20,5000;19680;21;2;0;60;0,2490;239;1;0;0;0;0;0;0
20,7500;19920;21;2;240;60;0,2490;239;1;0;0;0;0;0;0
21,0000;20160;22;1;0;60;0,9990;959;4;1;1;1;0;1;1
22,0000;21120;23;1;0;55;0,2490;239;1;0;0;0;0;0;0
22,2500;21360;23;1;240;55;0,2490;239;1;0;0;0;0;0;0
