Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,6250;600;0;2;120;51;0,1240;119;1;0;0;0;0;0;0
0,7500;720;0;2;240;51;0,2490;239;2;0;0;0;1;0;0
1,0000;960;1;1;0;53;0,2490;239;2;1;0;0;0;0;0
1,2500;1200;1;1;240;51;0,1240;119;1;0;0;0;0;0;0
1,3750;1320;1;1;360;51;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;1;2;0;53;0,4990;479;4;0;0;0;0;1;0
2,0000;1920;2;1;0;53;0,3740;359;3;1;1;1;1;0;0
2,3750;2280;2;1;360;51;0,1240;119;1;0;0;0;0;0;0
2,5000;2400;2;2;0;51;0,2490;239;2;0;0;0;0;0;0
2,7500;2640;2;2;240;53;0,2490;239;2;1;0;0;0;0;0
3,0000;2880;3;1;0;51;0,1240;119;1;0;0;0;0;0;0
3,1250;3000;3;1;120;51;0,1240;119;1;1;0;0;0;0;0
3,2500;3120;3;1;240;53;0,4990;479;4;0;0;0;0;0;0
3,7500;3600;3;2;240;53;0,2490;239;2;0;0;1;1;1;0
4,2500;4080;4;1;240;53;0,4990;479;4;0;0;0;0;0;0
4,7500;4560;4;2;240;53;0,3740;359;3;1;0;1;0;0;0
5,1250;4920;5;1;120;51;0,1240;119;1;0;0;0;0;0;0
5,2500;5040;5;1;240;53;0,2490;239;2;0;0;0;0;0;0
5,5000;5280;5;2;0;53;0,2490;239;2;0;0;0;0;0;0
5,7500;5520;5;2;240;53;0,2490;239;2;1;1;1;1;1;0
6,2500;6000;6;1;240;46;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;6;2;0;53;0,2490;239;2;1;0;0;0;0;0
6,7500;6480;6;2;240;51;0,1240;119;1;0;0;0;0;0;0
6,8750;6600;6;2;360;55;0,1240;119;1;1;0;0;0;0;0
7,0000;6720;7;1;0;53;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;7;1;240;53;0,2490;239;2;0;0;0;0;0;0
7,5000;7200;7;2;0;53;0,2490;239;2;1;1;1;1;1;0
