Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;59;0,3740;359;3;0;0;1;0;0;0
0,3750;360;1;1;360;58;0,1240;119;1;0;0;0;0;0;0
0,5000;480;1;2;0;59;0,3740;359;3;1;0;1;0;0;0
0,8750;840;1;2;360;58;0,1240;119;1;0;0;0;0;0;0
1,0000;960;2;1;0;59;0,4990;479;4;0;0;0;0;0;1
1,5000;1440;2;2;0;58;0,3740;359;3;1;1;1;1;0;0
1,8750;1800;2;2;360;53;0,1240;119;1;0;0;0;0;0;0
2,0000;1920;3;1;0;54;0,7490;719;6;1;1;1;0;1;1
2,7500;2640;3;2;240;53;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;4;1;0;58;0,3740;359;3;1;1;0;0;0;0
3,3750;3240;4;1;360;54;0,1240;119;1;0;0;0;0;0;0
3,5000;3360;4;2;0;58;0,3740;359;3;1;0;1;0;0;0
3,8750;3720;4;2;360;54;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;5;1;0;58;0,4990;479;4;0;1;0;0;0;1
4,5000;4320;5;2;0;54;0,3740;359;3;0;0;1;0;0;0
4,8750;4680;5;2;360;51;0,1240;119;1;0;0;0;0;0;0
5,0000;4800;6;1;0;51;0,4990;479;4;1;0;0;0;1;1
5,5000;5280;6;2;0;51;0,2490;239;2;0;0;1;0;0;0
5,7500;5520;6;2;240;53;0,1240;119;1;0;0;0;0;0;0
5,8750;5640;6;2;360;53;0,1240;119;1;0;0;0;0;0;0
6,0000;5760;7;1;0;53;0,9990;959;8;1;1;1;1;0;1
7,0000;6720;8;1;0;51;0,3740;359;3;0;0;0;0;0;0
7,3750;7080;8;1;360;47;0,1240;119;1;0;0;0;0;0;0
7,5000;7200;8;2;0;51;0,4990;479;4;1;0;1;0;0;1
8,0000;7680;9;1;0;47;0,3740;359;3;0;0;0;0;0;0
8,3750;8040;9;1;360;47;0,1240;119;1;0;0;0;0;0;0
8,5000;8160;9;2;0;47;0,9990;959;8;1;1;1;1;1;1
9,5000;9120;10;2;0;51;0,4990;479;4;0;0;0;0;0;1
10,0000;9600;11;1;0;53;0,3740;359;3;0;0;0;0;0;0
10,3750;9960;11;1;360;53;0,1240;119;1;0;0;0;0;0;0
10,5000;10080;11;2;0;53;0,4990;479;4;0;0;0;0;0;1
11,0000;10560;12;1;0;53;0,3740;359;3;0;0;1;0;0;0
11,3750;10920;12;1;360;51;0,1240;119;1;0;0;0;0;0;0
11,5000;11040;12;2;0;53;0,4990;479;4;1;1;1;1;0;1
12,0000;11520;13;1;0;51;0,3740;359;3;0;0;0;0;0;0
12,3750;11880;13;1;360;51;0,1240;119;1;0;0;0;0;0;0
12,5000;12000;13;2;0;54;0,2490;239;2;1;0;1;0;0;0
12,7500;12240;13;2;240;51;0,1240;119;1;0;0;0;0;0;0
12,8750;12360;13;2;360;51;0,1240;119;1;0;0;1;0;0;0
13,0000;12480;14;1;0;53;0,4990;479;4;1;0;0;0;1;1
13,5000;12960;14;2;0;53;0,2490;239;2;0;0;0;0;0;0
13,7500;13200;14;2;240;53;0,2490;239;2;0;0;0;0;0;0
14,0000;13440;15;1;0;51;0,3740;359;3;1;1;0;0;0;0
14,3750;13800;15;1;360;47;0,1240;119;1;0;0;1;1;0;0
14,5000;13920;15;2;0;53;0,2490;239;2;0;0;0;0;0;0
14,7500;14160;15;2;240;53;0,2490;239;2;0;0;0;0;0;0
15,0000;14400;16;1;0;51;0,2490;239;2;1;0;1;0;0;0
15,2500;14640;16;1;240;47;0,1240;119;1;0;0;0;0;0;0
15,3750;14760;16;1;360;47;0,1240;119;1;1;1;1;1;0;0
15,7500;15120;16;2;240;51;0,2490;239;2;0;0;0;0;0;0
16,0000;15360;17;1;0;53;0,7490;719;6;1;0;1;0;1;1
16,7500;16080;17;2;240;53;0,2490;239;2;0;0;0;0;0;0
17,0000;16320;18;1;0;53;0,3740;359;3;1;0;0;0;0;0
17,3750;16680;18;1;360;53;0,1240;119;1;0;0;0;0;0;0
17,5000;16800;18;2;0;51;0,3740;359;3;1;1;0;0;0;0
17,8750;17160;18;2;360;47;0,1240;119;1;0;0;1;1;0;0
18,0000;17280;19;1;0;53;0,2490;239;2;0;0;0;0;0;0
18,2500;17520;19;1;240;53;0,2490;239;2;0;0;1;0;0;0
18,5000;17760;19;2;0;51;0,2490;239;2;1;0;0;0;0;0
18,7500;18000;19;2;240;51;0,1240;119;1;0;0;0;0;0;0
18,8750;18120;19;2;360;51;0,1240;119;1;0;0;0;0;0;0
19,0000;18240;20;1;0;51;0,9990;959;8;1;1;1;1;1;1
