Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,7500;720;0;2;240;60;0,2490;239;1;0;0;0;0;0;0
1,0000;960;1;1;0;60;0,4990;479;2;1;0;1;0;0;0
1,5000;1440;1;2;0;60;0,2490;239;1;0;0;0;0;0;0
1,7500;1680;1;2;240;60;0,2490;239;1;0;0;0;0;0;0
2,0000;1920;2;1;0;60;1,2490;1199;5;0;0;1;0;0;1
3,2500;3120;3;1;240;60;0,2490;239;1;0;0;0;0;0;0
3,5000;3360;3;2;0;58;0,4990;479;2;1;1;0;0;0;0
4,0000;3840;4;1;0;55;0,2490;239;1;0;0;0;0;0;0
4,2500;4080;4;1;240;53;0,2490;239;1;0;0;0;0;0;0
4,5000;4320;4;2;0;53;0,9990;959;4;1;0;1;1;1;1
5,7500;5520;5;2;240;55;0,2490;239;1;0;0;0;0;0;0
6,0000;5760;6;1;0;58;0,4990;479;2;1;0;0;0;0;0
6,5000;6240;6;2;0;55;0,2490;239;1;0;0;1;0;0;0
6,7500;6480;6;2;240;53;0,2490;239;1;0;0;0;0;0;0
7,0000;6720;7;1;0;53;1,2490;1199;5;1;0;1;1;0;1
8,2500;7920;8;1;240;55;0,2490;239;1;0;0;0;0;0;0
8,5000;8160;8;2;0;53;0,4990;479;2;1;1;1;0;0;0
9,0000;8640;9;1;0;50;0,2490;239;1;0;0;0;0;0;0
9,2500;8880;9;1;240;48;0,2490;239;1;0;0;0;0;0;0
9,5000;9120;9;2;0;48;0,9990;959;4;1;0;1;1;1;1
10,7500;10320;10;2;240;50;0,2490;239;1;0;0;0;0;0;0
11,0000;10560;11;1;0;53;0,4990;479;2;1;0;0;0;0;0
11,5000;11040;11;2;0;50;0,2490;239;1;0;0;1;0;0;0
11,7500;11280;11;2;240;48;0,2490;239;1;0;0;0;0;0;0
12,0000;11520;12;1;0;48;0,9990;959;4;1;0;1;1;0;1
13,2500;12720;13;1;240;48;0,2490;239;1;0;0;0;0;0;0
13,5000;12960;13;2;0;48;0,4990;479;2;1;0;1;0;0;0
14,0000;13440;14;1;0;50;0,2490;239;1;0;0;0;0;0;0
14,2500;13680;14;1;240;48;0,2490;239;1;0;0;0;0;0;0
14,5000;13920;14;2;0;48;0,9990;959;4;1;1;1;1;1;1
15,7500;15120;15;2;240;55;0,2490;239;1;0;0;0;0;0;0
16,0000;15360;16;1;0;57;0,4990;479;2;1;0;1;0;0;0
16,5000;15840;16;2;0;55;0,2490;239;1;0;0;0;0;0;0
16,7500;16080;16;2;240;55;0,2490;239;1;0;0;0;0;0;0
17,0000;16320;17;1;0;55;1,2490;1199;5;0;0;1;0;0;1
18,2500;17520;18;1;240;55;0,2490;239;1;0;0;0;0;0;0
18,5000;17760;18;2;0;53;0,4990;479;2;1;1;0;0;0;0
19,0000;18240;19;1;0;50;0,2490;239;1;0;0;0;0;0;0
19,2500;18480;19;1;240;48;0,2490;239;1;0;0;0;0;0;0
19,5000;18720;19;2;0;48;0,9990;959;4;1;1;1;1;1;1
20,7500;19920;20;2;240;53;0,2490;239;1;0;0;0;0;0;0
21,0000;20160;21;1;0;55;0,4990;479;2;1;0;1;0;0;0
21,5000;20640;21;2;0;53;0,2490;239;1;0;0;0;0;0;0
21,7500;20880;21;2;240;53;0,2490;239;1;0;0;0;0;0;0
22,0000;21120;22;1;0;53;0,9990;959;4;1;0;1;1;0;1
23,2500;22320;23;1;240;55;0,2490;239;1;0;0;0;0;0;0
23,5000;22560;23;2;0;53;0,4990;479;2;1;1;1;0;0;0
24,0000;23040;24;1;0;50;0,2490;239;1;0;0;0;0;0;0
24,2500;23280;24;1;240;48;0,2490;239;1;0;0;0;0;0;0
24,5000;23520;24;2;0;48;0,9990;959;4;1;0;1;1;1;1
25,7500;24720;25;2;240;48;0,2490;239;1;0;0;0;0;0;0
26,0000;24960;26;1;0;53;0,4990;479;2;1;1;0;0;0;0
26,5000;25440;26;2;0;50;0,2490;239;1;0;0;0;0;0;0
26,7500;25680;26;2;240;48;0,2490;239;1;0;0;0;0;0;0
27,0000;25920;27;1;0;48;0,9990;959;4;1;0;1;1;1;1
28,2500;27120;28;1;240;48;0,2490;239;1;0;0;0;0;0;0
28,5000;27360;28;2;0;48;0,4990;479;2;1;1;1;0;0;0
29,0000;27840;29;1;0;50;0,2490;239;1;0;0;0;0;0;0
29,2500;28080;29;1;240;48;0,2490;239;1;0;0;0;0;0;0
29,5000;28320;29;2;0;48;0,4990;479;2;1;0;1;0;0;0
30,0000;28800;30;1;0;48;0,2490;239;1;0;0;0;0;0;0
30,2500;29040;30;1;240;48;0,2490;239;1;0;0;0;0;0;0
30,5000;29280;30;2;0;48;0,4990;479;2;1;1;1;1;1;1
