Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,3750;1320;2;1;360;59;0,1240;119;3;0;0;0;0;0;0
1,5000;1440;2;2;0;59;0,2490;239;6;0;0;1;0;0;0
1,7500;1680;2;2;240;56;0,2490;239;6;0;0;0;0;0;0
2,0000;1920;3;1;0;56;0,4990;479;12;1;1;1;1;1;0
2,8750;2760;3;2;360;59;0,1240;119;3;0;0;0;0;0;0
3,0000;2880;4;1;0;59;0,2490;239;6;0;0;1;0;0;0
3,2500;3120;4;1;240;56;0,2490;239;6;0;0;0;0;0;0
3,5000;3360;4;2;0;56;0,4990;479;12;1;0;1;1;0;0
4,0000;3840;5;1;0;52;0,3740;359;9;0;0;0;0;0;0
4,3750;4200;5;1;360;54;0,1240;119;3;0;0;0;0;0;0
4,5000;4320;5;2;0;54;0,1656;159;4;0;0;1;0;0;0
4,6667;4480;5;2;160;52;0,1656;159;4;0;0;0;0;0;0
4,8333;4640;5;2;320;47;0,1656;159;4;0;0;0;0;0;0
5,0000;4800;6;1;0;52;0,2490;239;6;1;1;1;0;0;0
5,2500;5040;6;1;240;49;0,4990;479;12;0;0;0;0;0;0
5,7500;5520;6;2;240;49;0,2490;239;6;1;0;1;1;1;0
6,6250;6360;7;2;120;49;0,1240;119;3;0;0;0;0;0;0
6,7500;6480;7;2;240;49;0,4990;479;12;1;0;1;0;0;0
7,2500;6960;8;1;240;56;0,4990;479;12;0;0;0;0;0;0
7,7500;7440;8;2;240;52;0,3740;359;9;1;0;1;0;0;0
8,1250;7800;9;1;120;54;0,1240;119;3;0;0;0;0;0;0
8,2500;7920;9;1;240;54;0,1656;159;4;1;1;1;0;0;0
8,4167;8080;9;1;400;52;0,1656;159;4;0;0;0;0;0;0
8,5833;8240;9;2;80;47;0,1656;159;4;0;0;0;0;0;0
8,7500;8400;9;2;240;52;0,2490;239;6;0;0;1;0;0;0
9,0000;8640;10;1;0;49;0,4990;479;12;0;0;0;0;0;0
9,5000;9120;10;2;0;49;0,2490;239;6;1;0;1;1;0;0
9,8750;9480;10;2;360;59;0,1240;119;3;0;0;0;0;0;0
10,0000;9600;11;1;0;59;0,2490;239;6;0;0;1;0;0;0
10,2500;9840;11;1;240;56;0,2490;239;6;0;0;0;0;0;0
10,5000;10080;11;2;0;56;0,4990;479;12;1;1;1;1;1;0
11,3750;10920;12;1;360;59;0,1240;119;3;0;0;0;0;0;0
11,5000;11040;12;2;0;59;0,2490;239;6;0;0;1;0;0;0
11,7500;11280;12;2;240;56;0,2490;239;6;0;0;0;0;0;0
12,0000;11520;13;1;0;56;0,4990;479;12;1;0;1;1;0;0
12,5000;12000;13;2;0;52;0,3740;359;9;0;0;0;0;0;0
12,8750;12360;13;2;360;54;0,1240;119;3;0;0;0;0;0;0
13,0000;12480;14;1;0;54;0,1656;159;4;1;1;1;0;0;0
13,1667;12640;14;1;160;52;0,1656;159;4;0;0;0;0;0;0
13,3333;12800;14;1;320;47;0,1656;159;4;0;0;0;0;0;0
13,5000;12960;14;2;0;52;0,2490;239;6;1;0;1;0;0;0
13,7500;13200;14;2;240;49;0,4990;479;12;0;0;0;0;0;0
14,2500;13680;15;1;240;49;0,2490;239;6;1;0;1;1;1;0
15,1250;14520;16;1;120;49;0,1240;119;3;0;0;0;0;0;0
15,2500;14640;16;1;240;49;0,4990;479;12;1;0;1;0;0;0
15,7500;15120;16;2;240;56;0,4990;479;12;0;0;0;0;0;0
16,2500;15600;17;1;240;52;0,3740;359;9;1;1;1;0;0;0
16,6250;15960;17;2;120;54;0,1240;119;3;0;0;0;0;0;0
16,7500;16080;17;2;240;54;0,1656;159;4;0;0;1;0;0;0
16,9167;16240;17;2;400;52;0,1656;159;4;0;0;0;0;0;0
17,0833;16400;18;1;80;47;0,1656;159;4;0;0;0;0;0;0
17,2500;16560;18;1;240;52;0,2490;239;6;0;1;1;0;0;0
17,5000;16800;18;2;0;49;0,4990;479;12;0;1;0;0;0;0
18,0000;17280;19;1;0;49;0,2490;239;6;0;1;1;1;0;0
18,3750;17640;19;1;360;59;0,1240;119;3;0;0;0;0;0;0
18,5000;17760;19;2;0;49;0,4990;479;12;0;0;0;0;0;0
19,0000;18240;20;1;0;49;0,2490;239;6;1;1;1;1;1;1
