Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;74;0,4990;479;2;0;0;1;0;0;0
0,5000;480;1;2;0;70;0,4990;479;2;0;0;0;0;0;0
1,0000;960;2;1;0;70;0,4990;479;2;1;0;1;0;0;0
1,5000;1440;2;2;0;74;0,4990;479;2;0;0;0;0;0;0
2,0000;1920;3;1;0;72;0,4990;479;2;0;0;0;0;0;0
2,5000;2400;3;2;0;74;0,4990;479;2;0;0;0;0;0;0
3,0000;2880;4;1;0;72;0,9990;959;4;1;0;0;0;0;0
4,0000;3840;5;1;0;70;2,4990;2399;10;0;0;1;0;1;1
6,5000;6240;7;2;0;68;0,4990;479;2;0;0;0;0;0;0
7,0000;6720;8;1;0;70;0,4990;479;2;0;0;0;0;0;0
7,5000;7200;8;2;0;68;0,4990;479;2;0;0;0;0;0;0
8,0000;7680;9;1;0;65;0,9990;959;4;0;0;0;0;0;0
9,0000;8640;10;1;0;63;2,9990;2879;12;1;1;1;1;1;1
12,0000;11520;13;1;0;72;0,4990;479;2;0;0;0;0;0;0
12,5000;12000;13;2;0;70;0,4990;479;2;0;0;0;0;0;0
13,0000;12480;14;1;0;70;0,4990;479;2;0;0;0;0;0;0
13,5000;12960;14;2;0;72;0,4990;479;2;0;0;0;0;0;0
14,0000;13440;15;1;0;70;0,4990;479;2;0;0;0;0;0;0
14,5000;13920;15;2;0;70;0,4990;479;2;0;0;0;0;0;0
15,0000;14400;16;1;0;68;0,4990;479;2;0;0;0;0;0;0
15,5000;14880;16;2;0;65;2,4990;2399;10;1;0;1;0;1;1
18,0000;17280;19;1;0;65;0,4990;479;2;0;0;0;0;0;0
18,5000;17760;19;2;0;63;0,4990;479;2;0;0;0;0;0;0
19,0000;18240;20;1;0;60;0,9990;959;4;1;1;0;0;0;0
20,0000;19200;21;1;0;58;2,9990;2879;12;0;0;1;1;1;1
23,0000;22080;24;1;0;58;0,4990;479;2;0;0;0;0;0;0
23,5000;22560;24;2;0;58;0,4990;479;2;0;0;0;0;0;0
24,0000;23040;25;1;0;58;0,4990;479;2;0;0;0;0;0;0
24,5000;23520;25;2;0;58;0,4990;479;2;0;0;0;0;0;0
25,0000;24000;26;1;0;58;0,4990;479;2;0;0;1;1;0;0
25,5000;24480;26;2;0;70;0,4990;479;2;0;0;0;0;0;0
26,0000;24960;27;1;0;67;0,9990;959;4;1;0;0;0;0;0
27,0000;25920;28;1;0;65;1,4990;1439;6;0;0;1;0;0;0
28,5000;27360;29;2;0;63;0,4990;479;2;0;0;0;0;0;0
29,0000;27840;30;1;0;65;0,4990;479;2;0;0;0;0;0;0
29,5000;28320;30;2;0;63;0,4990;479;2;0;0;0;0;0;0
30,0000;28800;31;1;0;60;0,9990;959;4;1;1;0;0;0;0
31,0000;29760;32;1;0;58;2,9990;2879;12;0;0;0;0;1;1
34,0000;32640;35;1;0;58;0,9990;959;4;0;0;1;1;0;0
35,0000;33600;36;1;0;72;0,9990;959;4;0;0;0;0;0;0
36,0000;34560;37;1;0;70;1,4990;1439;6;1;0;1;0;0;0
37,5000;36000;38;2;0;68;0,4990;479;2;0;0;0;0;0;0
38,0000;36480;39;1;0;70;0,4990;479;2;0;0;0;0;0;0
38,5000;36960;39;2;0;68;0,4990;479;2;0;0;0;0;0;0
39,0000;37440;40;1;0;65;0,9990;959;4;0;0;0;0;0;0
40,0000;38400;41;1;0;63;2,9990;2879;12;1;1;1;1;1;1
43,0000;41280;44;1;0;72;0,4990;479;2;0;0;0;0;0;0
43,5000;41760;44;2;0;70;0,4990;479;2;0;0;0;0;0;0
44,0000;42240;45;1;0;72;0,4990;479;2;0;0;1;0;0;0
44,5000;42720;45;2;0;70;0,4990;479;2;0;0;0;0;0;0
45,0000;43200;46;1;0;70;0,4990;479;2;0;0;0;0;0;0
45,5000;43680;46;2;0;68;0,9990;959;4;1;1;0;0;0;0
46,5000;44640;47;2;0;65;1,9990;1919;8;0;0;1;0;0;1
48,5000;46560;49;2;0;65;0,4990;479;2;0;0;0;0;0;0
49,0000;47040;50;1;0;63;0,4990;479;2;0;0;0;0;0;0
49,5000;47520;50;2;0;60;0,9990;959;4;1;0;0;0;0;0
50,5000;48480;51;2;0;58;2,9990;2879;12;0;0;1;1;1;1
53,5000;51360;54;2;0;58;0,9990;959;4;0;0;0;0;0;0
54,5000;52320;55;2;0;65;0,9990;959;4;0;0;0;0;0;0
55,5000;53280;56;2;0;63;1,4990;1439;6;1;0;1;0;0;0
57,0000;54720;58;1;0;60;0,4990;479;2;0;0;0;0;0;0
57,5000;55200;58;2;0;63;0,4990;479;2;1;0;0;0;0;0
58,0000;55680;59;1;0;60;0,9990;959;4;0;0;1;0;0;0
59,0000;56640;60;1;0;58;2,9990;2879;12;1;1;1;1;1;1
