Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,5000;480;0;2;0;57;0,3740;359;18;1;0;1;1;0;0
0,8750;840;0;2;360;64;0,1240;119;6;0;0;0;0;0;0
1,0000;960;1;1;0;64;0,4990;479;24;0;0;1;0;0;1
1,5000;1440;1;2;0;64;0,4990;479;24;0;0;0;0;0;1
2,0000;1920;2;1;0;64;0,1865;179;9;1;1;1;0;0;0
2,1875;2100;2;1;180;57;0,0615;59;3;0;0;0;0;0;0
2,2500;2160;2;1;240;57;0,1240;119;6;1;0;1;1;1;0
2,5000;2400;2;2;0;64;0,2490;239;12;0;0;0;0;0;0
2,7500;2640;2;2;240;64;0,2490;239;12;0;0;1;0;0;0
3,0000;2880;3;1;0;57;0,3740;359;18;1;1;0;0;0;0
3,3750;3240;3;1;360;57;0,1240;119;6;0;0;0;0;0;0
3,5000;3360;3;2;0;57;0,4990;479;24;1;0;1;0;0;1
4,0000;3840;4;1;0;57;0,3740;359;18;0;0;0;0;0;0
4,3750;4200;4;1;360;57;0,1240;119;6;0;0;0;0;0;0
4,5000;4320;4;2;0;57;0,1240;119;6;0;0;1;0;0;0
4,6250;4440;4;2;120;52;0,1240;119;6;0;0;0;0;0;0
4,7500;4560;4;2;240;52;0,2490;239;12;0;0;1;1;1;0
5,5000;5280;5;2;0;52;0,3740;359;18;1;1;0;0;0;0
5,8750;5640;5;2;360;64;0,1240;119;6;0;0;0;0;0;0
6,0000;5760;6;1;0;64;0,4990;479;24;0;0;1;0;0;1
6,5000;6240;6;2;0;64;0,4990;479;24;0;0;0;0;0;1
7,0000;6720;7;1;0;64;0,1865;179;9;1;0;1;0;0;0
7,1875;6900;7;1;180;57;0,0615;59;3;0;0;0;0;0;0
7,2500;6960;7;1;240;57;0,1240;119;6;1;0;1;1;0;0
7,5000;7200;7;2;0;64;0,2490;239;12;0;0;0;0;0;0
7,7500;7440;7;2;240;64;0,2490;239;12;0;0;1;0;0;0
8,0000;7680;8;1;0;57;0,3740;359;18;1;1;0;0;0;0
8,3750;8040;8;1;360;57;0,1240;119;6;0;0;0;0;0;0
8,5000;8160;8;2;0;57;0,4990;479;24;1;0;1;0;1;1
9,0000;8640;9;1;0;57;0,3740;359;18;0;0;0;0;0;0
9,3750;9000;9;1;360;57;0,1240;119;6;0;0;0;0;0;0
9,5000;9120;9;2;0;57;0,2490;239;12;1;0;1;0;0;0
10,0000;9600;10;1;0;57;0,3740;359;18;0;0;0;0;0;0
10,3750;9960;10;1;360;57;0,1240;119;6;0;0;0;0;0;0
10,5000;10080;10;2;0;57;0,3740;359;18;1;1;1;0;0;0
10,8750;10440;10;2;360;64;0,1240;119;6;0;0;0;0;0;0
11,0000;10560;11;1;0;64;0,9990;959;48;0;0;1;1;1;1
12,0000;11520;12;1;0;64;0,1865;179;9;0;1;0;0;0;0
12,1875;11700;12;1;180;57;0,0615;59;3;0;0;0;0;0;0
12,2500;11760;12;1;240;57;0,1240;119;6;1;0;1;0;0;0
12,5000;12000;12;2;0;64;0,2490;239;12;0;0;0;0;0;0
12,7500;12240;12;2;240;64;0,2490;239;12;1;0;1;0;0;0
13,0000;12480;13;1;0;57;0,1240;119;6;0;0;0;0;0;0
13,1250;12600;13;1;120;52;0,0615;59;3;1;1;1;0;0;0
13,2500;12720;13;1;240;59;0,2490;239;12;0;0;0;0;0;0
13,5000;12960;13;2;0;57;0,4990;479;24;0;0;0;0;1;1
14,0000;13440;14;1;0;57;0,3740;359;18;0;0;0;0;0;0
14,3750;13800;14;1;360;57;0,1240;119;6;0;0;1;0;0;0
14,5000;13920;14;2;0;54;0,1240;119;6;0;0;0;0;0;0
