Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;52;0,4990;479;12;1;0;1;1;0;0
0,5000;480;1;2;0;61;0,2490;239;6;0;0;0;0;0;0
0,7500;720;1;2;240;61;0,2490;239;6;0;0;0;0;0;0
1,0000;960;2;1;0;61;0,4990;479;12;1;1;1;0;1;0
1,5000;1440;2;2;0;59;0,2490;239;6;0;0;0;0;0;0
1,7500;1680;2;2;240;59;0,2490;239;6;0;0;1;0;0;0
2,0000;1920;3;1;0;57;0,2490;239;6;0;0;0;0;0;0
2,2500;2160;3;1;240;57;0,1656;159;4;1;0;0;0;0;0
2,4167;2320;3;1;400;57;0,1656;159;4;0;0;0;0;0;0
2,5833;2480;3;2;80;57;0,1656;159;4;0;0;0;0;0;0
2,7500;2640;3;2;240;57;0,4990;479;12;1;1;1;1;0;0
3,2500;3120;4;1;240;52;0,2490;239;6;0;0;0;0;0;0
3,5000;3360;4;2;0;52;0,2490;239;6;0;0;1;0;0;0
3,7500;3600;4;2;240;57;0,9990;959;24;1;0;0;0;1;1
4,7500;4560;5;2;240;57;0,2490;239;6;0;0;0;0;0;0
5,0000;4800;6;1;0;57;0,2490;239;6;0;0;0;0;0;0
5,2500;5040;6;1;240;59;0,2490;239;6;0;0;0;0;0;0
5,5000;5280;6;2;0;57;0,2490;239;6;0;0;0;0;0;0
5,7500;5520;6;2;240;57;0,4990;479;12;1;1;1;1;1;0
6,2500;6000;7;1;240;52;0,2490;239;6;0;0;0;0;0;0
6,5000;6240;7;2;0;54;0,2490;239;6;0;0;1;0;0;0
6,7500;6480;7;2;240;52;0,2490;239;6;1;0;0;0;0;0
7,0000;6720;8;1;0;52;0,1656;159;4;0;0;0;0;0;0
7,1667;6880;8;1;160;52;0,1656;159;4;0;0;0;0;0;0
7,3333;7040;8;1;320;52;0,1656;159;4;0;0;0;0;0;0
7,5000;7200;8;2;0;52;0,4990;479;12;1;0;1;0;0;0
8,0000;7680;9;1;0;52;0,2490;239;6;0;0;0;0;0;0
8,2500;7920;9;1;240;52;0,2490;239;6;0;0;0;0;0;0
8,5000;8160;9;2;0;52;0,9990;959;24;1;1;1;1;1;1
9,5000;9120;10;2;0;57;0,2490;239;6;0;0;0;0;0;0
9,7500;9360;10;2;240;57;0,2490;239;6;0;0;0;0;0;0
10,0000;9600;11;1;0;59;0,9990;959;24;1;0;1;0;0;1
11,0000;10560;12;1;0;59;0,1656;159;4;0;0;0;0;0;0
11,1667;10720;12;1;160;59;0,1656;159;4;0;0;0;0;0;0
11,3333;10880;12;1;320;59;0,1656;159;4;0;0;1;0;0;0
11,5000;11040;12;2;0;57;0,4990;479;12;0;0;0;0;0;0
12,0000;11520;13;1;0;57;0,7490;719;18;1;1;1;1;1;0
12,7500;12240;13;2;240;52;0,2490;239;6;0;0;0;0;0;0
13,0000;12480;14;1;0;54;0,2490;239;6;0;0;1;0;0;0
13,2500;12720;14;1;240;52;0,2490;239;6;0;0;0;0;0;0
13,5000;12960;14;2;0;52;0,2490;239;6;0;0;0;0;0;0
13,7500;13200;14;2;240;52;0,7490;719;18;1;0;1;1;0;0
14,5000;13920;15;2;0;52;0,2490;239;6;0;0;0;0;0;0
14,7500;14160;15;2;240;52;0,2490;239;6;0;0;0;0;0;0
15,0000;14400;16;1;0;52;0,2490;239;6;0;0;0;0;0;0
15,2500;14640;16;1;240;49;0,2490;239;6;0;0;0;0;0;0
15,5000;14880;16;2;0;52;0,2490;239;6;0;0;0;0;0;0
15,7500;15120;16;2;240;52;0,9990;959;24;1;0;1;1;1;1
16,7500;16080;17;2;240;52;0,1240;119;3;0;0;0;0;0;0
16,8750;16200;17;2;360;52;0,3740;359;9;1;1;1;0;0;0
17,2500;16560;18;1;240;54;0,2490;239;6;0;0;0;0;0;0
17,5000;16800;18;2;0;52;0,2490;239;6;0;0;0;0;0;0
17,7500;17040;18;2;240;52;0,4990;479;12;1;1;1;0;0;0
18,2500;17520;19;1;240;49;0,2490;239;6;0;0;0;0;0;0
18,5000;17760;19;2;0;52;0,4990;479;12;1;0;0;0;1;0
19,0000;18240;20;1;0;52;0,1656;159;4;0;0;0;0;0;0
19,1667;18400;20;1;160;52;0,1656;159;4;0;0;0;0;0;0
19,3333;18560;20;1;320;52;0,1656;159;4;0;0;0;0;0;0
19,5000;18720;20;2;0;52;0,4990;479;12;1;1;1;1;0;0
20,0000;19200;21;1;0;49;0,2490;239;6;0;0;0;0;0;0
20,2500;19440;21;1;240;49;0,2490;239;6;1;0;1;0;0;0
20,5000;19680;21;2;0;52;0,4990;479;12;0;0;0;0;0;0
21,0000;20160;22;1;0;52;0,4990;479;12;1;1;1;1;1;1
