Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,0000;960;0;3;0;57;0,4990;479;4;0;0;0;0;0;0
1,5000;1440;1;1;0;55;0,9990;959;8;1;0;1;0;0;1
2,5000;2400;1;3;0;57;0,4990;479;4;0;0;0;0;0;0
3,0000;2880;2;1;0;55;0,9990;959;8;1;1;0;0;0;1
4,0000;3840;2;3;0;55;0,4990;479;4;0;0;1;0;0;0
4,5000;4320;3;1;0;52;0,9990;959;8;1;0;0;0;0;1
5,5000;5280;3;3;0;53;0,4990;479;4;0;0;0;0;0;0
6,0000;5760;4;1;0;52;0,4990;479;4;1;1;1;1;0;0
7,0000;6720;4;3;0;48;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;4;3;240;48;0,2490;239;2;0;0;0;0;0;0
7,5000;7200;5;1;0;48;0,2490;239;2;1;0;1;0;1;0
8,5000;8160;5;3;0;48;0,2490;239;2;0;0;0;0;0;0
8,7500;8400;5;3;240;48;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;6;1;0;48;0,2490;239;2;1;1;1;0;0;0
9,5000;9120;6;2;0;55;0,9990;959;8;0;0;0;0;0;1
10,5000;10080;7;1;0;53;0,4990;479;4;0;0;0;0;0;0
11,0000;10560;7;2;0;52;0,1240;119;1;0;0;0;0;0;0
11,1250;10680;7;2;120;52;0,3740;359;3;0;0;1;1;0;0
12,0000;11520;8;1;0;48;0,9990;959;8;0;1;0;0;1;1
13,5000;12960;9;1;0;48;0,7490;719;6;0;0;1;0;0;0
14,5000;13920;9;3;0;52;0,9990;959;8;1;0;0;0;0;1
15,5000;14880;10;2;0;52;0,2490;239;2;0;0;0;0;0;0
15,7500;15120;10;2;240;48;0,2490;239;2;0;0;0;0;0;0
16,0000;15360;10;3;0;52;0,4990;479;4;0;0;1;1;0;0
17,0000;16320;11;2;0;48;0,9990;959;8;1;0;0;0;0;1
18,0000;17280;12;1;0;48;0,2490;239;2;0;0;1;0;0;0
18,2500;17520;12;1;240;43;0,2490;239;2;0;0;0;0;0;0
18,5000;17760;12;2;0;48;0,4990;479;4;1;1;1;1;1;0
19,5000;18720;13;1;0;57;0,4990;479;4;0;0;0;0;0;0
20,0000;19200;13;2;0;55;0,9990;959;8;1;0;1;0;0;1
21,0000;20160;14;1;0;57;0,4990;479;4;0;0;0;0;0;0
21,5000;20640;14;2;0;55;0,9990;959;8;1;1;0;0;0;1
22,5000;21600;15;1;0;55;0,4990;479;4;0;0;1;0;0;0
23,0000;22080;15;2;0;52;0,9990;959;8;1;0;0;0;0;1
24,0000;23040;16;1;0;53;0,4990;479;4;0;0;0;0;0;0
24,5000;23520;16;2;0;52;0,4990;479;4;1;1;1;1;0;0
25,5000;24480;17;1;0;48;0,2490;239;2;0;0;0;0;0;0
25,7500;24720;17;1;240;48;0,2490;239;2;0;0;0;0;0;0
26,0000;24960;17;2;0;48;0,2490;239;2;1;0;1;0;1;0
27,0000;25920;18;1;0;48;0,2490;239;2;0;0;0;0;0;0
27,2500;26160;18;1;240;48;0,2490;239;2;0;0;0;0;0;0
27,5000;26400;18;2;0;48;0,2490;239;2;1;1;1;0;0;0
28,0000;26880;18;3;0;55;0,9990;959;8;0;0;0;0;0;1
29,0000;27840;19;2;0;53;0,4990;479;4;0;0;0;0;0;0
29,5000;28320;19;3;0;52;0,1240;119;1;0;0;0;0;0;0
29,6250;28440;19;3;120;52;0,3740;359;3;0;0;1;1;0;0
30,5000;29280;20;2;0;48;0,9990;959;8;0;1;0;0;1;1
32,0000;30720;21;2;0;48;0,7490;719;6;0;0;1;0;0;0
33,0000;31680;22;1;0;52;0,9990;959;8;1;0;0;0;0;1
34,0000;32640;22;3;0;52;0,2490;239;2;0;0;0;0;0;0
34,2500;32880;22;3;240;48;0,2490;239;2;0;0;0;0;0;0
34,5000;33120;23;1;0;52;0,4990;479;4;0;0;1;1;0;0
35,5000;34080;23;3;0;48;0,9990;959;8;1;0;0;0;0;1
36,5000;35040;24;2;0;48;0,2490;239;2;0;0;1;0;0;0
36,7500;35280;24;2;240;43;0,2490;239;2;0;0;0;0;0;0
37,0000;35520;24;3;0;48;0,4990;479;4;1;1;1;1;0;0
38,0000;36480;25;2;0;57;0,4990;479;4;0;0;0;0;0;0
38,5000;36960;25;3;0;48;0,4990;479;4;1;1;1;1;1;1
