Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;61;0,7490;719;18;1;0;1;0;0;0
0,7500;720;1;2;240;61;0,2490;239;6;0;0;0;0;0;0
1,0000;960;1;3;0;61;0,2490;239;6;0;0;0;0;0;0
1,2500;1200;1;3;240;61;0,2490;239;6;0;0;0;0;0;0
1,5000;1440;2;1;0;61;0,7490;719;18;1;1;1;0;1;0
2,2500;2160;2;2;240;58;0,1240;119;3;0;0;0;0;0;0
2,3750;2280;2;2;360;56;0,1240;119;3;0;0;1;1;0;0
2,5000;2400;2;3;0;61;0,4990;479;12;0;0;0;0;0;0
3,0000;2880;3;1;0;61;0,3740;359;9;1;0;1;0;0;0
3,3750;3240;3;1;360;58;0,1240;119;3;0;0;0;0;0;0
3,5000;3360;3;2;0;56;0,3740;359;9;1;1;0;0;0;0
3,8750;3720;3;2;360;56;0,1240;119;3;0;0;0;0;0;0
4,0000;3840;3;3;0;56;0,4990;479;12;0;0;0;0;0;0
4,5000;4320;4;1;0;54;0,2490;239;6;1;0;1;1;1;0
5,0000;4800;4;2;0;56;0,2490;239;6;0;0;0;0;0;0
5,2500;5040;4;2;240;59;0,2490;239;6;0;0;0;0;0;0
5,5000;5280;4;3;0;59;0,3740;359;9;1;1;1;0;0;0
5,8750;5640;4;3;360;56;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;5;1;0;54;0,3740;359;9;1;0;0;0;0;0
6,3750;6120;5;1;360;54;0,1240;119;3;0;0;0;0;0;0
6,5000;6240;5;2;0;54;0,4990;479;12;0;0;0;0;0;0
7,0000;6720;5;3;0;51;0,2490;239;6;1;0;1;1;1;0
7,5000;7200;6;1;0;54;0,2490;239;6;0;0;0;0;0;0
7,7500;7440;6;1;240;56;0,2490;239;6;0;0;0;0;0;0
8,0000;7680;6;2;0;56;0,1240;119;3;0;0;1;0;0;0
8,1250;7800;6;2;120;54;0,3740;359;9;1;0;0;0;0;0
8,5000;8160;6;3;0;56;0,1240;119;3;0;0;1;0;0;0
8,6250;8280;6;3;120;52;0,3740;359;9;1;0;0;0;1;0
9,0000;8640;7;1;0;52;0,1240;119;3;0;0;1;1;0;0
9,1250;8760;7;1;120;47;0,3740;359;9;1;1;0;0;0;0
9,5000;9120;7;2;0;54;0,1656;159;4;0;0;0;0;0;0
9,6667;9280;7;2;160;52;0,1656;159;4;0;0;1;0;0;0
9,8333;9440;7;2;320;54;0,1656;159;4;0;0;0;0;0;0
10,0000;9600;7;3;0;54;0,1240;119;3;0;0;1;0;0;0
10,1250;9720;7;3;120;52;0,3740;359;9;1;0;0;0;0;0
10,5000;10080;8;1;0;56;0,2490;239;6;0;0;0;0;0;0
10,7500;10320;8;1;240;52;0,2490;239;6;0;0;0;0;0;0
11,0000;10560;8;2;0;54;0,4990;479;12;1;0;1;1;1;0
12,0000;11520;9;1;0;56;0,2490;239;6;0;0;0;0;0;0
12,2500;11760;9;1;240;52;0,2490;239;6;0;0;0;0;0;0
12,5000;12000;9;2;0;54;0,7490;719;18;1;1;0;0;0;0
13,2500;12720;9;3;240;54;0,2490;239;6;0;0;0;0;0;0
13,5000;12960;10;1;0;54;0,2490;239;6;0;0;0;0;0;0
13,7500;13200;10;1;240;52;0,2490;239;6;0;0;0;0;0;0
14,0000;13440;10;2;0;54;0,4990;479;12;1;1;1;0;1;0
15,0000;14400;11;1;0;54;0,3740;359;9;0;0;0;0;0;0
15,3750;14760;11;1;360;54;0,1240;119;3;0;0;0;0;0;0
15,5000;14880;11;2;0;54;0,2490;239;6;0;0;1;0;0;0
15,7500;15120;11;2;240;47;0,2490;239;6;0;0;0;0;0;0
16,0000;15360;11;3;0;54;0,3740;359;9;1;1;0;0;0;0
16,3750;15720;11;3;360;54;0,1240;119;3;0;0;0;0;0;0
16,5000;15840;12;1;0;54;1,4990;1439;36;1;0;1;1;1;1
18,0000;17280;13;1;0;56;0,2490;239;6;0;0;0;0;0;0
18,2500;17520;13;1;240;61;0,2490;239;6;0;0;0;0;0;0
18,5000;17760;13;2;0;61;0,3740;359;9;1;1;0;0;0;0
18,8750;18120;13;2;360;59;0,1240;119;3;0;0;1;0;0;0
19,0000;18240;13;3;0;56;0,2490;239;6;0;0;0;0;0;0
19,2500;18480;13;3;240;56;0,2490;239;6;0;0;0;0;0;0
19,5000;18720;14;1;0;56;0,2490;239;6;0;0;0;0;0;0
19,7500;18960;14;1;240;56;0,2490;239;6;0;0;0;0;0;0
20,0000;19200;14;2;0;56;0,2490;239;6;1;0;1;0;0;0
20,2500;19440;14;2;240;54;0,2490;239;6;0;0;0;0;1;0
20,5000;19680;14;3;0;56;0,2490;239;6;0;0;1;0;0;0
20,7500;19920;14;3;240;59;0,2490;239;6;0;0;0;0;0;0
21,0000;20160;15;1;0;59;0,3740;359;9;1;1;1;1;0;0
21,3750;20520;15;1;360;56;0,1240;119;3;0;0;0;0;0;0
21,5000;20640;15;2;0;54;0,2490;239;6;0;0;0;0;0;0
21,7500;20880;15;2;240;54;0,2490;239;6;0;0;0;0;0;0
22,0000;21120;15;3;0;54;0,2490;239;6;0;0;0;0;0;0
22,2500;21360;15;3;240;54;0,2490;239;6;0;0;0;0;0;0
22,5000;21600;16;1;0;54;0,2490;239;6;1;0;1;1;0;0
22,7500;21840;16;1;240;52;0,2490;239;6;1;1;1;1;1;1
