Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;49;0,2490;239;2;0;0;0;0;0;0
0,2500;240;1;1;240;46;0,4990;479;4;1;1;1;1;0;0
0,7500;720;1;2;240;51;0,2490;239;2;0;0;0;0;0;0
1,0000;960;2;1;0;51;0,7490;719;6;1;0;1;0;0;0
1,7500;1680;2;2;240;51;0,2490;239;2;0;0;0;0;0;0
2,0000;1920;3;1;0;51;0,4990;479;4;1;0;1;1;1;0
3,0000;2880;4;1;0;49;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;4;1;240;46;0,4990;479;4;1;1;1;0;0;0
3,7500;3600;4;2;240;51;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;5;1;0;51;0,7490;719;6;1;0;1;0;0;0
4,7500;4560;5;2;240;51;0,2490;239;2;0;0;0;0;0;0
5,0000;4800;6;1;0;51;0,9990;959;8;1;1;1;1;0;0
6,0000;5760;7;1;0;58;0,4990;479;4;0;0;0;0;0;0
6,5000;6240;7;2;0;58;0,4990;479;4;1;0;1;0;0;0
7,0000;6720;8;1;0;61;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;8;1;240;61;0,2490;239;2;0;0;0;0;0;0
7,5000;7200;8;2;0;61;0,4990;479;4;1;0;1;0;1;0
8,0000;7680;9;1;0;58;0,4990;479;4;0;0;0;0;0;0
8,5000;8160;9;2;0;56;0,4990;479;4;1;1;1;0;0;0
9,0000;8640;10;1;0;58;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;10;1;240;58;0,2490;239;2;1;0;1;0;0;0
9,5000;9120;10;2;0;56;0,4990;479;4;0;0;0;0;0;0
10,0000;9600;11;1;0;55;0,4990;479;4;0;0;0;0;0;0
10,5000;10080;11;2;0;51;0,4990;479;4;1;0;1;0;0;0
11,0000;10560;12;1;0;56;0,2490;239;2;0;0;0;0;0;0
11,2500;10800;12;1;240;56;0,2490;239;2;0;0;0;0;0;0
11,5000;11040;12;2;0;55;0,4990;479;4;0;1;1;1;1;0
12,5000;12000;13;2;0;55;0,3740;359;3;0;1;0;0;0;0
12,8750;12360;13;2;360;51;0,1240;119;1;0;0;0;0;0;0
13,0000;12480;14;1;0;51;0,7490;719;6;1;0;1;0;0;0
13,7500;13200;14;2;240;51;0,2490;239;2;0;0;0;0;0;0
14,0000;13440;15;1;0;51;0,4990;479;4;1;1;1;1;0;0
15,0000;14400;16;1;0;46;0,3740;359;3;0;0;0;0;0;0
15,3750;14760;16;1;360;51;0,1240;119;1;0;0;0;0;0;0
15,5000;14880;16;2;0;51;0,7490;719;6;1;0;1;0;0;0
16,2500;15600;17;1;240;51;0,2490;239;2;0;0;0;0;0;0
16,5000;15840;17;2;0;51;0,9990;959;8;1;1;1;1;1;0
17,5000;16800;18;2;0;56;0,4990;479;4;0;0;0;0;0;0
18,0000;17280;19;1;0;56;0,4990;479;4;0;0;0;0;0;0
18,5000;17760;19;2;0;56;0,4990;479;4;1;0;1;0;0;0
19,0000;18240;20;1;0;58;0,4990;479;4;0;0;0;0;0;0
19,5000;18720;20;2;0;60;0,4990;479;4;0;0;1;0;0;0
20,0000;19200;21;1;0;58;0,4990;479;4;1;0;0;0;0;0
20,5000;19680;21;2;0;58;0,2490;239;2;0;0;1;0;0;0
20,7500;19920;21;2;240;56;0,2490;239;2;0;0;0;0;0;0
21,0000;20160;22;1;0;58;0,2490;239;2;0;0;0;0;0;0
21,2500;20400;22;1;240;56;0,2490;239;2;0;0;0;0;0;0
21,5000;20640;22;2;0;53;0,4990;479;4;0;1;1;1;1;0
22,5000;21600;23;2;0;53;0,3740;359;3;0;1;0;0;0;0
22,8750;21960;23;2;360;51;0,1240;119;1;0;0;0;0;0;0
23,0000;22080;24;1;0;51;0,7490;719;6;1;0;1;0;0;0
23,7500;22800;24;2;240;51;0,2490;239;2;0;0;0;0;0;0
24,0000;23040;25;1;0;51;0,4990;479;4;1;1;1;1;1;0
25,0000;24000;26;1;0;46;0,3740;359;3;0;0;0;0;0;0
25,3750;24360;26;1;360;51;0,1240;119;1;0;0;0;0;0;0
25,5000;24480;26;2;0;51;0,7490;719;6;1;0;1;0;0;0
26,2500;25200;27;1;240;51;0,2490;239;2;0;0;0;0;0;0
26,5000;25440;27;2;0;51;0,9990;959;8;1;1;1;1;0;0
27,5000;26400;28;2;0;58;0,4990;479;4;0;0;0;0;0;0
28,0000;26880;29;1;0;58;0,4990;479;4;1;0;1;0;0;0
28,5000;27360;29;2;0;61;0,2490;239;2;0;0;0;0;0;0
28,7500;27600;29;2;240;61;0,2490;239;2;0;0;0;0;0;0
29,0000;27840;30;1;0;61;0,4990;479;4;1;0;1;0;0;0
29,5000;28320;30;2;0;58;0,4990;479;4;0;0;0;0;1;0
30,0000;28800;31;1;0;56;0,4990;479;4;1;1;1;0;0;0
30,5000;29280;31;2;0;58;0,2490;239;2;0;0;0;0;0;0
30,7500;29520;31;2;240;58;0,2490;239;2;1;0;1;0;0;0
31,0000;29760;32;1;0;56;0,4990;479;4;0;0;0;0;0;0
31,5000;30240;32;2;0;55;0,4990;479;4;0;0;0;0;0;0
32,0000;30720;33;1;0;51;0,4990;479;4;1;0;1;0;0;0
32,5000;31200;33;2;0;56;0,2490;239;2;0;0;0;0;0;0
