Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,2500;1200;0;3;240;58;0,2490;239;3;1;0;1;0;0;0
1,5000;1440;1;1;0;58;0,1656;159;2;0;0;0;0;0;0
1,6667;1600;1;1;160;58;0,1656;159;2;1;0;1;0;0;0
1,8333;1760;1;1;320;56;0,1656;159;2;0;0;0;0;0;0
2,0000;1920;1;2;0;55;0,4990;479;6;0;0;0;0;1;0
2,5000;2400;1;3;0;55;0,1656;159;2;1;1;0;0;0;0
2,6667;2560;1;3;160;51;0,1656;159;2;0;0;1;1;0;0
2,8333;2720;1;3;320;58;0,1656;159;2;0;0;0;0;0;0
3,0000;2880;2;1;0;58;0,2490;239;3;1;0;1;0;0;0
3,2500;3120;2;1;240;56;0,2490;239;3;0;0;0;0;0;0
3,5000;3360;2;2;0;55;0,2490;239;3;0;0;1;0;0;0
3,7500;3600;2;2;240;51;0,2490;239;3;0;0;0;0;0;0
4,0000;3840;2;3;0;51;0,4990;479;6;1;1;1;1;1;0
5,0000;4800;3;2;0;55;0,4990;479;6;0;0;0;0;0;0
5,5000;5280;3;3;0;58;0,4990;479;6;0;0;1;0;0;0
6,0000;5760;4;1;0;55;0,4990;479;6;0;0;0;0;0;0
6,5000;6240;4;2;0;55;0,4990;479;6;1;0;1;1;0;0
7,0000;6720;4;3;0;51;0,4990;479;6;0;0;0;0;0;0
7,5000;7200;5;1;0;51;0,4990;479;6;0;0;1;1;0;0
8,0000;7680;5;2;0;55;0,4990;479;6;1;0;0;0;0;0
8,5000;8160;5;3;0;55;0,2490;239;3;0;0;1;0;0;0
8,7500;8400;5;3;240;53;0,2490;239;3;0;0;0;0;0;0
9,0000;8640;6;1;0;55;0,2490;239;3;0;0;1;0;0;0
9,2500;8880;6;1;240;51;0,2490;239;3;0;0;0;0;0;0
9,5000;9120;6;2;0;51;0,4990;479;6;0;0;1;1;1;0
10,5000;10080;7;1;0;51;0,9990;959;12;1;1;0;0;0;1
11,5000;11040;7;3;0;55;0,2490;239;3;0;0;0;0;0;0
11,7500;11280;7;3;240;51;0,2490;239;3;0;0;0;0;0;0
12,0000;11520;8;1;0;55;0,4990;479;6;1;0;1;0;0;0
12,5000;12000;8;2;0;51;0,4990;479;6;0;0;0;0;0;0
13,0000;12480;8;3;0;51;0,4990;479;6;0;0;1;1;0;0
13,5000;12960;9;1;0;55;0,4990;479;6;1;0;0;0;0;0
14,0000;13440;9;2;0;55;0,2490;239;3;0;0;1;0;0;0
14,2500;13680;9;2;240;53;0,2490;239;3;0;0;0;0;0;0
14,5000;13920;9;3;0;55;0,2490;239;3;0;0;1;0;0;0
14,7500;14160;9;3;240;51;0,2490;239;3;0;0;0;0;0;0
15,0000;14400;10;1;0;51;0,4990;479;6;1;1;1;1;1;0
16,0000;15360;10;3;0;51;0,4990;479;6;0;0;0;0;0;0
16,5000;15840;11;1;0;51;0,2490;239;3;0;0;1;0;0;0
16,7500;16080;11;1;240;46;0,2490;239;3;0;0;0;0;0;0
17,0000;16320;11;2;0;51;0,4990;479;6;1;1;1;1;1;1
