Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,2500;1200;2;1;240;60;0,1240;119;3;0;0;0;0;0;0
1,3750;1320;2;1;360;60;0,1240;119;3;0;0;0;0;0;0
1,5000;1440;2;2;0;60;0,4990;479;12;0;0;1;0;0;1
2,0000;1920;3;1;0;55;0,4990;479;12;1;0;0;0;0;1
2,5000;2400;3;2;0;56;0,1240;119;3;0;0;0;0;0;0
2,6250;2520;3;2;120;56;0,3740;359;9;0;1;0;0;0;0
3,0000;2880;4;1;0;55;0,9990;959;24;0;1;1;1;1;1
4,5000;4320;5;2;0;55;0,3740;359;9;0;0;0;0;0;0
4,8750;4680;5;2;360;53;0,1240;119;3;0;0;0;0;0;0
5,0000;4800;6;1;0;55;0,9990;959;24;1;1;1;0;0;1
6,2500;6000;7;1;240;57;0,1240;119;3;0;0;0;0;0;0
6,3750;6120;7;1;360;57;0,1240;119;3;0;0;0;0;0;0
6,5000;6240;7;2;0;57;0,4990;479;12;0;0;0;0;0;1
7,0000;6720;8;1;0;55;0,2490;239;6;0;0;1;0;0;0
7,5000;7200;8;2;0;55;0,1240;119;3;0;0;0;0;0;0
7,6250;7320;8;2;120;55;0,3740;359;9;0;0;0;0;0;0
8,0000;7680;9;1;0;53;0,9990;959;24;1;1;1;0;1;1
9,0000;8640;10;1;0;50;0,3740;359;9;0;0;0;0;0;0
9,3750;9000;10;1;360;48;0,1240;119;3;0;0;0;0;0;0
9,5000;9120;10;2;0;48;0,9990;959;24;1;1;1;1;0;1
10,7500;10320;11;2;240;55;0,1240;119;3;0;0;0;0;0;0
10,8750;10440;11;2;360;55;0,1240;119;3;0;0;0;0;0;0
11,0000;10560;12;1;0;55;0,4990;479;12;0;0;1;0;0;1
11,5000;11040;12;2;0;50;0,4990;479;12;1;0;0;0;0;1
12,0000;11520;13;1;0;53;0,1240;119;3;0;0;0;0;0;0
12,1250;11640;13;1;120;53;0,3740;359;9;0;0;0;0;0;0
12,5000;12000;13;2;0;53;0,9990;959;24;1;0;1;1;1;1
14,0000;13440;15;1;0;53;0,2490;239;6;0;0;0;0;0;0
14,2500;13680;15;1;240;53;0,2490;239;6;0;0;0;0;0;0
14,5000;13920;15;2;0;53;0,9990;959;24;1;1;1;0;0;1
15,5000;14880;16;2;0;50;0,1240;119;3;0;0;0;0;0;0
15,6250;15000;16;2;120;50;0,3740;359;9;0;0;0;0;0;0
16,0000;15360;17;1;0;48;0,4990;479;12;0;0;1;0;0;1
16,5000;15840;17;2;0;50;0,1656;159;4;0;0;0;0;0;0
16,6667;16000;17;2;160;50;0,1656;159;4;0;0;0;0;0;0
16,8333;16160;17;2;320;50;0,1656;159;4;0;0;0;0;0;0
17,0000;16320;18;1;0;48;0,4990;479;12;1;1;1;1;0;1
17,5000;16800;18;2;0;43;0,1656;159;4;0;0;0;0;0;0
17,6667;16960;18;2;160;41;0,1656;159;4;1;0;0;0;0;0
17,8333;17120;18;2;320;41;0,1656;159;4;0;0;0;0;0;0
18,0000;17280;19;1;0;41;0,9990;959;24;0;0;1;0;0;0
19,0000;18240;20;1;0;41;0,9990;959;24;1;1;1;1;1;1
