Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,3750;1320;0;3;360;60;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;1;1;0;60;0,9990;959;8;1;0;1;1;0;1
2,5000;2400;1;3;0;60;0,2490;239;2;0;0;0;0;0;0
2,7500;2640;1;3;240;58;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;2;1;0;58;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;2;1;240;58;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;2;2;0;55;0,2490;239;2;1;1;1;0;1;0
4,0000;3840;2;3;0;58;0,2490;239;2;0;0;0;0;0;0
4,2500;4080;2;3;240;60;0,2490;239;2;0;0;0;0;0;0
4,5000;4320;3;1;0;58;0,9990;959;8;1;0;1;0;0;1
5,5000;5280;3;3;0;58;0,2490;239;2;0;0;0;0;0;0
5,7500;5520;3;3;240;55;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;4;1;0;53;0,4990;479;4;0;0;0;0;0;0
6,5000;6240;4;2;0;53;0,9990;959;8;1;1;1;1;1;1
8,0000;7680;5;2;0;58;0,9990;959;8;0;0;0;0;0;1
9,0000;8640;6;1;0;58;0,2490;239;2;0;0;1;0;0;0
9,2500;8880;6;1;240;53;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;6;2;0;55;0,2490;239;2;0;0;0;0;0;0
9,7500;9360;6;2;240;53;0,2490;239;2;0;0;0;0;0;0
10,0000;9600;6;3;0;50;0,2490;239;2;1;0;1;0;0;0
10,5000;10080;7;1;0;53;0,2490;239;2;0;0;0;0;0;0
10,7500;10320;7;1;240;55;0,2490;239;2;0;0;0;0;0;0
11,0000;10560;7;2;0;53;0,9990;959;8;1;1;1;0;0;1
12,0000;11520;8;1;0;53;0,2490;239;2;0;0;0;0;0;0
12,2500;11760;8;1;240;50;0,2490;239;2;0;0;0;0;0;0
12,5000;12000;8;2;0;48;0,4990;479;4;0;0;0;0;0;0
13,0000;12480;8;3;0;46;0,9990;959;8;1;0;1;1;1;1
14,5000;13920;9;3;0;48;0,9990;959;8;0;0;0;0;0;1
15,5000;14880;10;2;0;48;0,2490;239;2;0;0;0;0;0;0
15,7500;15120;10;2;240;46;0,2490;239;2;0;0;0;0;0;0
16,0000;15360;10;3;0;46;0,2490;239;2;0;0;0;0;0;0
16,2500;15600;10;3;240;46;0,2490;239;2;0;0;0;0;0;0
16,5000;15840;11;1;0;43;0,2490;239;2;1;1;1;0;0;0
17,0000;16320;11;2;0;48;0,2490;239;2;0;0;0;0;0;0
17,2500;16560;11;2;240;48;0,2490;239;2;0;0;0;0;0;0
17,5000;16800;11;3;0;46;0,9990;959;8;1;0;1;0;0;1
18,5000;17760;12;2;0;46;0,2490;239;2;0;0;0;0;0;0
18,7500;18000;12;2;240;43;0,2490;239;2;1;0;0;0;0;0
19,0000;18240;12;3;0;41;0,4990;479;4;0;0;0;0;0;0
19,5000;18720;13;1;0;41;0,9990;959;8;1;1;1;1;1;1
