Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;53;0,3740;359;18;0;0;1;0;0;0
0,3750;360;1;1;360;62;0,1240;119;6;0;0;0;0;0;0
0,5000;480;1;2;0;62;0,3740;359;18;1;1;1;1;0;0
0,8750;840;1;2;360;58;0,1240;119;6;0;0;0;0;0;0
1,0000;960;2;1;0;60;0,3740;359;18;1;0;1;0;0;0
1,3750;1320;2;1;360;60;0,1240;119;6;0;0;0;0;0;0
1,5000;1440;2;2;0;60;0,3740;359;18;1;0;1;0;0;0
1,8750;1800;2;2;360;60;0,1240;119;6;0;0;0;0;0;0
2,0000;1920;3;1;0;58;0,3740;359;18;1;1;1;0;1;0
2,3750;2280;3;1;360;53;0,1240;119;6;0;0;0;0;0;0
2,5000;2400;3;2;0;53;0,2490;239;12;1;0;1;1;0;0
2,7500;2640;3;2;240;60;0,1240;119;6;0;0;0;0;0;0
2,8750;2760;3;2;360;60;0,1240;119;6;0;0;0;0;0;0
3,0000;2880;4;1;0;58;0,3740;359;18;1;1;1;0;0;0
3,3750;3240;4;1;360;53;0,1240;119;6;0;0;0;0;0;0
3,5000;3360;4;2;0;55;0,1656;159;8;1;0;0;0;0;0
3,6667;3520;4;2;160;53;0,1656;159;8;0;0;0;0;0;0
3,8333;3680;4;2;320;53;0,1656;159;8;0;0;0;0;0;0
4,0000;3840;5;1;0;53;0,3740;359;18;1;0;1;0;1;0
4,3750;4200;5;1;360;53;0,1240;119;6;0;0;0;0;0;0
4,5000;4320;5;2;0;53;0,3740;359;18;1;1;1;0;0;0
4,8750;4680;5;2;360;50;0,1240;119;6;0;0;0;0;0;0
5,0000;4800;6;1;0;53;0,2490;239;12;0;0;0;0;0;0
5,2500;5040;6;1;240;53;0,1240;119;6;0;0;0;0;0;0
5,3750;5160;6;1;360;53;0,1240;119;6;0;0;0;0;0;0
5,5000;5280;6;2;0;53;0,4990;479;24;0;0;1;1;0;1
6,0000;5760;7;1;0;58;0,4990;479;24;1;1;0;0;1;1
6,5000;6240;7;2;0;60;0,0990;95;5;0;0;0;0;0;0
6,6000;6336;7;2;96;60;0,0990;95;5;0;0;0;0;0;0
6,7000;6432;7;2;192;60;0,0990;95;5;0;0;0;0;0;0
6,8000;6528;7;2;288;60;0,0990;95;5;0;0;0;0;0;0
6,9000;6624;7;2;384;60;0,0990;95;5;0;0;0;0;0;0
7,0000;6720;8;1;0;58;0,1656;159;8;0;0;1;1;0;0
7,1667;6880;8;1;160;53;0,1656;159;8;0;1;0;0;0;0
7,3333;7040;8;1;320;53;0,1656;159;8;0;1;0;0;1;0
7,5000;7200;8;2;0;55;0,1656;159;8;0;0;0;0;0;0
7,6667;7360;8;2;160;53;0,1656;159;8;1;0;0;0;0;0
7,8333;7520;8;2;320;53;0,1656;159;8;0;0;0;0;0;0
8,0000;7680;9;1;0;53;0,3740;359;18;1;1;1;0;0;0
8,3750;8040;9;1;360;53;0,1240;119;6;0;0;0;0;0;0
8,5000;8160;9;2;0;53;0,1656;159;8;1;0;0;0;0;0
8,6667;8320;9;2;160;53;0,1656;159;8;0;0;0;0;0;0
8,8333;8480;9;2;320;53;0,1656;159;8;0;0;0;0;0;0
9,0000;8640;10;1;0;53;0,2490;239;12;1;1;1;1;1;0
9,5000;9120;10;2;0;55;0,1656;159;8;0;0;0;0;0;0
9,6667;9280;10;2;160;53;0,1656;159;8;0;0;0;0;0;0
9,8333;9440;10;2;320;53;0,1656;159;8;0;0;0;0;0;0
10,0000;9600;11;1;0;53;0,3740;359;18;1;1;1;0;0;0
10,3750;9960;11;1;360;50;0,1240;119;6;0;0;0;0;0;0
10,5000;10080;11;2;0;53;0,3740;359;18;1;0;1;0;0;0
10,8750;10440;11;2;360;53;0,1240;119;6;0;0;0;0;0;0
11,0000;10560;12;1;0;53;0,3740;359;18;1;1;1;1;0;0
11,3750;10920;12;1;360;50;0,1240;119;6;0;0;0;0;0;0
11,5000;11040;12;2;0;53;0,2490;239;12;0;0;0;0;0;0
11,7500;11280;12;2;240;53;0,1240;119;6;0;0;0;0;0;0
11,8750;11400;12;2;360;53;0,1240;119;6;0;0;0;0;0;0
12,0000;11520;13;1;0;53;0,4990;479;24;1;1;1;1;1;1
