Signature: 4/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,0000;960;0;3;0;43;0,4990;479;2;0;1;0;1;0;0
1,5000;1440;0;4;0;43;0,4990;479;2;0;1;0;1;0;0
2,0000;1920;1;1;0;43;0,4990;479;2;0;1;0;1;0;0
2,5000;2400;1;2;0;43;0,4990;479;2;0;0;0;0;0;0
3,0000;2880;1;3;0;43;0,4990;479;2;0;0;0;0;0;0
3,5000;3360;1;4;0;43;0,4990;479;2;0;0;0;0;0;0
4,0000;3840;2;1;0;43;0,4990;479;2;1;1;1;1;1;0
5,0000;4800;2;3;0;43;0,4990;479;2;0;0;0;0;0;0
5,5000;5280;2;4;0;43;0,4990;479;2;0;0;0;0;0;0
6,0000;5760;3;1;0;43;0,4990;479;2;0;0;0;0;0;0
6,5000;6240;3;2;0;43;0,4990;479;2;0;0;0;0;0;0
7,0000;6720;3;3;0;43;0,4990;479;2;0;0;0;0;0;0
7,5000;7200;3;4;0;43;0,4990;479;2;1;1;1;1;1;0
8,5000;8160;4;2;0;43;0,4990;479;2;0;0;0;0;0;0
9,0000;8640;4;3;0;43;0,4990;479;2;0;0;0;0;0;0
9,5000;9120;4;4;0;43;0,4990;479;2;0;0;0;0;0;0
10,0000;9600;5;1;0;43;0,4990;479;2;0;0;0;0;0;0
10,5000;10080;5;2;0;43;0,4990;479;2;0;0;0;0;0;0
11,0000;10560;5;3;0;43;0,4990;479;2;0;0;0;0;0;0
11,5000;11040;5;4;0;43;0,4990;479;2;1;1;1;1;1;0
12,5000;12000;6;2;0;43;0,4990;479;2;0;0;0;0;0;0
13,0000;12480;6;3;0;43;0,4990;479;2;0;0;0;0;0;0
13,5000;12960;6;4;0;43;0,4990;479;2;0;0;0;0;0;0
14,0000;13440;7;1;0;43;0,4990;479;2;0;0;0;0;0;0
14,5000;13920;7;2;0;43;0,4990;479;2;0;0;0;0;0;0
15,0000;14400;7;3;0;43;0,4990;479;2;0;0;0;0;0;0
15,5000;14880;7;4;0;43;0,4990;479;2;1;1;1;1;1;0
16,5000;15840;8;2;0;43;0,4990;479;2;0;0;0;0;0;0
17,0000;16320;8;3;0;43;0,4990;479;2;0;0;0;0;0;0
17,5000;16800;8;4;0;43;0,4990;479;2;0;0;0;0;0;0
18,0000;17280;9;1;0;43;0,4990;479;2;0;0;0;0;0;0
18,5000;17760;9;2;0;43;0,4990;479;2;0;0;0;0;0;0
19,0000;18240;9;3;0;43;0,4990;479;2;0;0;0;0;0;0
19,5000;18720;9;4;0;43;0,4990;479;2;1;1;1;1;1;0
