Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;56;0,9990;959;16;0;0;0;0;0;0
1,0000;960;2;1;0;58;0,4990;479;8;1;1;1;0;0;1
1,5000;1440;2;2;0;56;0,2490;239;4;0;0;0;0;0;0
1,7500;1680;2;2;240;51;0,2490;239;4;1;0;1;0;0;0
2,0000;1920;3;1;0;56;0,4990;479;8;0;0;0;0;0;1
2,5000;2400;3;2;0;56;0,4990;479;8;1;1;0;0;0;1
3,0000;2880;4;1;0;56;0,2490;239;4;0;0;1;0;0;0
3,2500;3120;4;1;240;51;0,2490;239;4;0;0;0;0;0;0
3,5000;3360;4;2;0;54;0,1240;119;2;0;0;0;0;0;0
3,6250;3480;4;2;120;54;0,3740;359;6;0;1;0;0;0;0
4,0000;3840;5;1;0;51;0,4990;479;8;0;0;1;1;1;1
5,0000;4800;6;1;0;54;0,2490;239;4;0;0;0;0;0;0
5,2500;5040;6;1;240;51;0,2490;239;4;0;0;0;0;0;0
5,5000;5280;6;2;0;56;0,9990;959;16;1;1;1;0;0;1
6,5000;6240;7;2;0;51;0,3740;359;6;0;0;0;0;0;0
6,8750;6600;7;2;360;53;0,1240;119;2;0;0;0;0;0;0
7,0000;6720;8;1;0;51;0,3740;359;6;1;0;1;0;0;0
7,3750;7080;8;1;360;49;0,1240;119;2;0;0;0;0;0;0
7,5000;7200;8;2;0;51;0,3740;359;6;1;1;1;0;0;0
7,8750;7560;8;2;360;49;0,1240;119;2;0;0;0;0;0;0
8,0000;7680;9;1;0;49;0,3740;359;6;1;1;1;1;0;0
8,3750;8040;9;1;360;46;0,1240;119;2;0;0;0;0;0;0
8,5000;8160;9;2;0;49;0,4990;479;8;1;0;0;0;1;1
9,0000;8640;10;1;0;49;0,3740;359;6;0;0;1;0;0;0
9,3750;9000;10;1;360;46;0,1240;119;2;0;0;0;0;0;0
9,5000;9120;10;2;0;49;0,2490;239;4;0;0;0;0;0;0
9,7500;9360;10;2;240;46;0,1865;179;3;0;0;1;0;0;0
9,9375;9540;10;2;420;49;0,0615;59;1;0;0;0;0;0;0
10,0000;9600;11;1;0;49;0,3740;359;6;1;0;0;0;0;0
10,3750;9960;11;1;360;49;0,1240;119;2;0;0;0;0;0;0
10,5000;10080;11;2;0;46;0,3740;359;6;1;1;1;1;0;0
10,8750;10440;11;2;360;49;0,1240;119;2;0;0;0;0;0;0
11,0000;10560;12;1;0;49;0,3740;359;6;1;0;1;0;0;0
11,3750;10920;12;1;360;49;0,1240;119;2;0;0;0;0;0;0
11,5000;11040;12;2;0;49;0,4990;479;8;1;0;1;0;1;1
12,0000;11520;13;1;0;51;0,3740;359;6;0;0;0;0;0;0
12,3750;11880;13;1;360;51;0,1240;119;2;0;0;1;1;0;0
12,5000;12000;13;2;0;46;0,3740;359;6;1;1;0;0;0;0
12,8750;12360;13;2;360;49;0,1240;119;2;0;0;0;0;0;0
13,0000;12480;14;1;0;49;0,3740;359;6;1;0;1;0;0;0
13,3750;12840;14;1;360;49;0,1240;119;2;0;0;0;0;0;0
13,5000;12960;14;2;0;49;0,4990;479;8;1;0;1;1;0;1
14,0000;13440;15;1;0;54;0,4990;479;8;0;0;0;0;0;1
14,5000;13920;15;2;0;51;0,4990;479;8;1;0;1;0;1;1
15,0000;14400;16;1;0;54;0,2490;239;4;0;0;0;0;0;0
15,2500;14640;16;1;240;51;0,2490;239;4;1;1;1;1;0;0
15,5000;14880;16;2;0;54;0,1240;119;2;0;0;0;0;0;0
15,6250;15000;16;2;120;54;0,3740;359;6;1;1;1;1;1;1
