Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,5000;480;0;2;0;58;0,2490;239;2;0;0;0;0;0;0
0,7500;720;0;2;240;58;0,2490;239;2;0;0;0;0;0;0
1,0000;960;1;1;0;58;0,9990;959;8;1;1;1;0;0;1
2,0000;1920;2;1;0;56;0,2490;239;2;0;0;0;0;1;0
2,5000;2400;2;2;0;58;0,4990;479;4;1;0;0;0;0;0
3,0000;2880;3;1;0;53;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;3;1;240;51;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;3;2;0;51;0,2490;239;2;0;0;0;0;0;0
3,7500;3600;3;2;240;51;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;4;1;0;51;0,4990;479;4;0;0;0;0;0;0
4,5000;4320;4;2;0;51;0,2490;239;2;1;1;1;1;0;0
5,0000;4800;5;1;0;56;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;5;1;240;53;0,2490;239;2;0;0;0;0;0;0
5,5000;5280;5;2;0;56;0,7490;719;6;1;0;1;0;1;0
6,2500;6000;6;1;240;53;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;6;2;0;56;0,2490;239;2;0;0;0;0;0;0
6,7500;6480;6;2;240;53;0,2490;239;2;1;0;1;0;0;0
7,0000;6720;7;1;0;51;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;7;1;240;50;0,2490;239;2;0;0;0;0;0;0
7,5000;7200;7;2;0;51;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;7;2;240;50;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;8;1;0;51;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;8;1;240;50;0,2490;239;2;0;0;0;0;0;0
8,5000;8160;8;2;0;51;0,2490;239;2;1;1;1;1;1;0
9,0000;8640;9;1;0;51;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;9;1;240;50;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;9;2;0;51;0,4990;479;4;1;0;0;0;0;0
10,0000;9600;10;1;0;50;0,4990;479;4;0;0;1;0;0;0
10,5000;10080;10;2;0;46;0,4990;479;4;0;0;0;0;0;0
11,0000;10560;11;1;0;51;0,4990;479;4;1;0;1;0;0;0
11,5000;11040;11;2;0;46;0,2490;239;2;0;0;0;0;0;0
11,7500;11280;11;2;240;46;0,2490;239;2;0;0;0;0;0;0
12,0000;11520;12;1;0;46;0,4990;479;4;0;0;0;0;0;0
12,5000;12000;12;2;0;46;0,4990;479;4;1;1;1;1;1;0
13,5000;12960;13;2;0;55;0,2490;239;2;0;0;0;0;0;0
13,7500;13200;13;2;240;53;0,2490;239;2;0;0;0;0;0;0
14,0000;13440;14;1;0;55;0,2490;239;2;0;0;1;0;0;0
14,2500;13680;14;1;240;53;0,2490;239;2;0;0;0;0;0;0
14,5000;13920;14;2;0;53;0,4990;479;4;1;0;0;0;0;0
15,0000;14400;15;1;0;53;0,2490;239;2;0;0;1;1;0;0
15,2500;14640;15;1;240;50;0,2490;239;2;0;0;0;0;0;0
15,5000;14880;15;2;0;50;0,2490;239;2;0;0;0;0;0;0
15,7500;15120;15;2;240;50;0,2490;239;2;0;0;0;0;0;0
16,0000;15360;16;1;0;50;0,4990;479;4;0;0;0;0;0;0
16,5000;15840;16;2;0;50;0,9990;959;8;1;0;1;0;1;1
17,5000;16800;17;2;0;50;0,4990;479;4;0;0;0;0;0;0
18,0000;17280;18;1;0;50;0,9990;959;8;1;1;1;1;0;1
19,0000;18240;19;1;0;50;0,2490;239;2;0;0;0;0;0;0
19,2500;18480;19;1;240;50;0,2490;239;2;0;0;0;0;0;0
19,5000;18720;19;2;0;50;0,4990;479;4;0;0;1;0;0;0
20,0000;19200;20;1;0;50;0,4990;479;4;0;0;0;0;0;0
20,5000;19680;20;2;0;50;0,4990;479;4;0;0;1;0;0;0
21,0000;20160;21;1;0;58;0,9990;959;8;1;1;0;0;0;1
22,0000;21120;22;1;0;51;0,4990;479;4;0;0;0;0;0;0
22,5000;21600;22;2;0;58;0,9990;959;8;1;1;1;1;1;1
24,2500;23280;24;1;240;55;0,2490;239;2;0;0;0;0;0;0
24,5000;23520;24;2;0;58;0,2490;239;2;0;0;0;0;0;0
24,7500;23760;24;2;240;58;0,2490;239;2;0;0;0;0;0;0
25,0000;24000;25;1;0;58;0,2490;239;2;0;0;0;0;0;0
25,2500;24240;25;1;240;58;0,2490;239;2;1;0;1;1;0;0
25,5000;24480;25;2;0;56;0,2490;239;2;0;0;0;0;0;0
25,7500;24720;25;2;240;56;0,2490;239;2;0;0;1;0;0;0
26,0000;24960;26;1;0;53;0,2490;239;2;0;0;0;0;0;0
26,2500;25200;26;1;240;56;0,7490;719;6;1;1;1;1;1;0
27,0000;25920;27;1;0;53;0,1240;119;1;0;0;0;0;0;0
27,2500;26160;27;1;240;53;0,2490;239;2;0;0;1;0;0;0
27,5000;26400;27;2;0;56;0,2490;239;2;0;0;0;0;0;0
27,7500;26640;27;2;240;56;0,2490;239;2;0;0;0;0;0;0
28,0000;26880;28;1;0;56;0,2490;239;2;1;0;1;1;0;0
28,2500;27120;28;1;240;51;0,2490;239;2;0;0;0;0;0;0
28,5000;27360;28;2;0;50;0,2490;239;2;0;0;0;0;0;0
28,7500;27600;28;2;240;51;0,2490;239;2;0;0;0;0;0;0
29,0000;27840;29;1;0;50;0,2490;239;2;0;0;0;0;0;0
29,2500;28080;29;1;240;51;0,2490;239;2;0;0;0;0;0;0
29,5000;28320;29;2;0;50;0,2490;239;2;0;0;0;0;0;0
29,7500;28560;29;2;240;51;0,2490;239;2;1;1;1;1;1;0
30,3750;29160;30;1;360;51;0,1240;119;1;0;0;0;0;0;0
30,5000;29280;30;2;0;51;0,2490;239;2;0;0;1;0;0;0
30,7500;29520;30;2;240;55;0,2490;239;2;0;0;0;0;0;0
31,0000;29760;31;1;0;51;0,2490;239;2;0;0;0;0;0;0
31,2500;30000;31;1;240;51;0,2490;239;2;0;0;1;0;0;0
31,5000;30240;31;2;0;50;0,2490;239;2;0;0;0;0;0;0
31,7500;30480;31;2;240;51;0,2490;239;2;0;0;1;1;0;0
32,0000;30720;32;1;0;46;0,2490;239;2;0;0;0;0;0;0
32,2500;30960;32;1;240;46;0,4990;479;4;0;0;0;0;0;0
32,7500;31440;32;2;240;46;0,4990;479;4;1;1;1;0;1;0
33,2500;31920;33;1;240;51;0,2490;239;2;0;0;0;0;0;0
33,5000;32160;33;2;0;46;0,2490;239;2;0;0;1;0;0;0
33,7500;32400;33;2;240;51;0,2490;239;2;0;0;0;0;0;0
34,0000;32640;34;1;0;51;0,2490;239;2;1;0;1;0;0;0
34,2500;32880;34;1;240;46;0,4990;479;4;0;0;0;0;0;0
34,7500;33360;34;2;240;46;0,4990;479;4;0;0;0;0;0;0
35,2500;33840;35;1;240;46;0,4990;479;4;0;0;0;0;0;0
35,7500;34320;35;2;240;46;0,4990;479;4;0;0;0;0;0;0
36,2500;34800;36;1;240;46;0,7490;719;6;1;1;1;1;1;0
37,2500;35760;37;1;240;51;0,2490;239;2;0;0;0;0;0;0
37,5000;36000;37;2;0;46;0,2490;239;2;0;0;0;0;0;0
