Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;55;0,9990;959;24;0;0;1;0;0;0
1,0000;960;2;1;0;52;0,3740;359;9;0;1;0;0;0;0
1,3750;1320;2;1;360;50;0,1240;119;3;0;0;1;1;0;0
1,5000;1440;2;2;0;55;0,4990;479;12;0;0;0;0;0;0
2,0000;1920;3;1;0;55;0,4990;479;12;0;0;1;0;0;0
2,5000;2400;3;2;0;52;0,1656;159;4;1;0;0;0;0;0
2,6667;2560;3;2;160;50;0,1656;159;4;0;0;0;0;0;0
2,8333;2720;3;2;320;50;0,1656;159;4;0;0;0;0;0;0
3,0000;2880;4;1;0;50;0,2490;239;6;1;1;1;1;0;0
3,5000;3360;4;2;0;55;0,9990;959;24;0;0;0;0;1;1
4,5000;4320;5;2;0;52;0,1240;119;3;0;0;0;0;0;0
4,6250;4440;5;2;120;50;0,1240;119;3;0;0;0;0;0;0
4,7500;4560;5;2;240;52;0,2490;239;6;0;0;1;0;0;0
5,0000;4800;6;1;0;48;0,2490;239;6;0;0;0;0;0;0
5,2500;5040;6;1;240;48;0,4990;479;12;1;1;1;0;0;0
5,7500;5520;6;2;240;43;0,2490;239;6;0;0;0;0;0;0
6,0000;5760;7;1;0;48;0,2490;239;6;0;0;0;0;0;0
6,2500;6000;7;1;240;43;0,2490;239;6;0;0;0;0;0;0
6,7500;6480;7;2;240;48;0,9990;959;24;0;0;1;0;1;1
7,7500;7440;8;2;240;43;0,1240;119;3;0;0;0;0;0;0
7,8750;7560;8;2;360;48;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;9;1;0;48;0,1240;119;3;0;0;0;0;0;0
8,1250;7800;9;1;120;48;0,1240;119;3;0;0;0;0;0;0
8,2500;7920;9;1;240;48;0,4990;479;12;1;1;1;1;0;0
8,7500;8400;9;2;240;43;0,2490;239;6;0;0;0;0;0;0
9,0000;8640;10;1;0;43;0,2490;239;6;0;0;0;0;0;0
9,2500;8880;10;1;240;43;0,2490;239;6;1;0;1;0;0;0
9,7500;9360;10;2;240;48;0,9990;959;24;0;0;0;0;1;1
10,7500;10320;11;2;240;43;0,2490;239;6;0;0;0;0;0;0
11,0000;10560;12;1;0;48;0,2490;239;6;0;0;0;0;0;0
11,2500;10800;12;1;240;43;0,4990;479;12;1;0;1;0;0;0
11,7500;11280;12;2;240;48;0,2490;239;6;0;0;0;0;0;0
12,0000;11520;13;1;0;43;0,1240;119;3;0;0;1;0;0;0
12,1250;11640;13;1;120;48;0,1240;119;3;0;0;0;0;0;0
12,2500;11760;13;1;240;48;0,4990;479;12;1;1;1;1;0;0
12,7500;12240;13;2;240;43;0,2490;239;6;0;0;0;0;0;0
13,0000;12480;14;1;0;48;0,2490;239;6;0;0;1;0;0;0
13,2500;12720;14;1;240;43;0,4990;479;12;1;0;0;0;0;0
13,7500;13200;14;2;240;43;0,2490;239;6;0;0;0;0;0;0
14,0000;13440;15;1;0;43;0,2490;239;6;0;1;1;1;1;0
14,7500;14160;15;2;240;48;0,9990;959;24;0;1;0;0;0;1
15,7500;15120;16;2;240;43;0,1240;119;3;0;0;0;0;0;0
15,8750;15240;16;2;360;43;0,1240;119;3;0;0;1;0;0;0
16,0000;15360;17;1;0;48;0,1240;119;3;0;0;0;0;0;0
16,1250;15480;17;1;120;48;0,1240;119;3;0;0;0;0;0;0
16,2500;15600;17;1;240;48;0,4990;479;12;1;1;1;1;0;0
16,7500;16080;17;2;240;43;0,2490;239;6;0;0;0;0;0;0
17,0000;16320;18;1;0;43;0,2490;239;6;0;0;0;0;0;0
17,2500;16560;18;1;240;43;0,2490;239;6;1;0;1;0;0;0
17,7500;17040;18;2;240;48;0,9990;959;24;0;0;0;0;1;1
18,7500;18000;19;2;240;43;0,2490;239;6;0;0;0;0;0;0
19,0000;18240;20;1;0;48;0,2490;239;6;0;0;1;0;0;0
19,2500;18480;20;1;240;43;0,4990;479;12;1;1;0;0;0;0
19,7500;18960;20;2;240;43;0,2490;239;6;0;0;0;0;0;0
20,0000;19200;21;1;0;43;0,2490;239;6;0;0;0;0;0;0
20,2500;19440;21;1;240;43;0,2490;239;6;0;0;0;0;0;0
20,5000;19680;21;2;0;43;0,2490;239;6;0;1;0;1;0;0
20,7500;19920;21;2;240;43;0,2490;239;6;0;1;0;1;0;0
21,0000;20160;22;1;0;43;0,2490;239;6;0;1;0;1;0;0
21,2500;20400;22;1;240;43;0,2490;239;6;0;1;0;1;0;0
21,5000;20640;22;2;0;43;0,2490;239;6;0;1;0;1;0;0
21,7500;20880;22;2;240;43;0,2490;239;6;0;1;0;1;0;0
22,0000;21120;23;1;0;43;0,2490;239;6;1;1;1;1;1;1
