Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;56;0,1240;119;3;0;0;0;0;0;0
1,0000;960;1;1;0;56;0,1656;159;4;0;0;1;1;0;0
1,1667;1120;1;1;160;53;0,1656;159;4;0;1;0;0;0;0
1,3333;1280;1;1;320;56;0,1656;159;4;0;1;0;0;0;0
1,5000;1440;1;2;0;56;0,1656;159;4;0;0;0;0;0;0
1,6667;1600;1;2;160;53;0,1656;159;4;0;0;0;0;0;0
1,8333;1760;1;2;320;56;0,1656;159;4;0;0;0;0;0;0
2,0000;1920;2;1;0;56;0,3740;359;9;1;1;1;0;0;0
2,3750;2280;2;1;360;53;0,1240;119;3;0;0;0;0;0;0
2,5000;2400;2;2;0;53;0,3740;359;9;1;1;1;1;1;0
2,8750;2760;2;2;360;56;0,1240;119;3;0;0;0;0;0;0
3,0000;2880;3;1;0;56;0,1656;159;4;1;1;1;0;0;0
3,1667;3040;3;1;160;53;0,1656;159;4;0;0;0;0;0;0
3,3333;3200;3;1;320;53;0,1656;159;4;0;0;0;0;0;0
3,5000;3360;3;2;0;53;0,3740;359;9;1;0;1;0;0;0
3,8750;3720;3;2;360;53;0,1240;119;3;0;0;0;0;0;0
4,0000;3840;4;1;0;53;0,4990;479;12;0;0;0;0;0;0
4,5000;4320;4;2;0;53;0,3740;359;9;1;1;1;1;1;0
4,8750;4680;4;2;360;56;0,1240;119;3;0;0;0;0;0;0
5,0000;4800;5;1;0;56;0,1656;159;4;0;0;1;0;0;0
5,1667;4960;5;1;160;53;0,1656;159;4;0;0;0;0;0;0
5,3333;5120;5;1;320;56;0,1656;159;4;0;1;0;0;0;0
5,5000;5280;5;2;0;56;0,1656;159;4;0;0;0;0;0;0
5,6667;5440;5;2;160;53;0,1656;159;4;0;0;0;0;0;0
5,8333;5600;5;2;320;56;0,1656;159;4;0;0;0;0;0;0
6,0000;5760;6;1;0;56;0,3740;359;9;1;1;1;0;0;0
6,3750;6120;6;1;360;53;0,1240;119;3;0;0;0;0;0;0
6,5000;6240;6;2;0;53;0,2490;239;6;1;1;1;1;1;0
6,8750;6600;6;2;360;56;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;7;1;0;56;0,1656;159;4;0;0;1;0;0;0
7,1667;6880;7;1;160;53;0,1656;159;4;0;0;0;0;0;0
7,3333;7040;7;1;320;53;0,1656;159;4;0;0;0;0;0;0
7,5000;7200;7;2;0;53;0,3740;359;9;1;0;1;0;0;0
7,8750;7560;7;2;360;53;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;8;1;0;53;0,2490;239;6;0;0;0;0;1;0
8,5000;8160;8;2;0;53;0,3740;359;9;1;1;1;1;0;0
8,8750;8520;8;2;360;56;0,1240;119;3;0;0;0;0;0;0
9,0000;8640;9;1;0;56;0,1656;159;4;1;1;1;0;0;0
9,1667;8800;9;1;160;53;0,1656;159;4;0;0;0;0;0;0
9,3333;8960;9;1;320;56;0,1656;159;4;0;0;0;0;0;0
9,5000;9120;9;2;0;56;0,1656;159;4;1;0;0;0;0;0
9,6667;9280;9;2;160;53;0,1656;159;4;0;0;0;0;0;0
9,8333;9440;9;2;320;56;0,1656;159;4;0;0;0;0;0;0
10,0000;9600;10;1;0;56;0,3740;359;9;1;1;1;0;1;0
10,3750;9960;10;1;360;53;0,1240;119;3;0;0;0;0;0;0
10,5000;10080;10;2;0;53;0,3740;359;9;1;1;1;1;0;0
10,8750;10440;10;2;360;56;0,1240;119;3;0;0;0;0;0;0
11,0000;10560;11;1;0;56;0,1656;159;4;1;1;1;0;0;0
11,1667;10720;11;1;160;53;0,1656;159;4;0;0;0;0;0;0
11,3333;10880;11;1;320;53;0,1656;159;4;0;0;0;0;0;0
11,5000;11040;11;2;0;53;0,3740;359;9;1;0;1;0;0;0
11,8750;11400;11;2;360;53;0,1240;119;3;0;0;0;0;0;0
12,0000;11520;12;1;0;53;0,4990;479;12;1;1;1;1;1;0
