Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;63;0,3740;359;9;1;1;0;0;0;0
0,3750;360;1;1;360;61;0,1240;119;3;0;0;1;0;0;0
0,5000;480;1;2;0;59;0,1240;119;3;0;0;0;0;0;0
0,6250;600;1;2;120;59;0,3740;359;9;0;0;0;0;0;0
1,0000;960;2;1;0;59;0,3740;359;9;1;0;1;1;0;0
1,3750;1320;2;1;360;61;0,1240;119;3;0;0;0;0;0;0
1,5000;1440;2;2;0;59;0,4990;479;12;0;0;0;0;1;1
2,0000;1920;3;1;0;57;0,4990;479;12;0;0;1;0;0;1
2,5000;2400;3;2;0;60;0,3740;359;9;1;1;0;0;0;0
2,8750;2760;3;2;360;59;0,1240;119;3;0;0;1;0;0;0
3,0000;2880;4;1;0;57;0,1240;119;3;0;0;0;0;0;0
3,1250;3000;4;1;120;57;0,3740;359;9;0;0;0;0;0;0
3,5000;3360;4;2;0;57;0,3740;359;9;1;0;1;1;0;0
3,8750;3720;4;2;360;59;0,1240;119;3;0;0;0;0;0;0
4,0000;3840;5;1;0;57;0,1240;119;3;1;0;1;0;0;0
4,1250;3960;5;1;120;59;0,3740;359;9;0;0;0;0;0;0
4,5000;4320;5;2;0;59;0,3740;359;9;1;0;0;0;1;0
4,8750;4680;5;2;360;59;0,1240;119;3;0;0;1;1;0;0
5,0000;4800;6;1;0;57;0,1240;119;3;0;0;0;0;0;0
5,1250;4920;6;1;120;57;0,3740;359;9;1;1;0;0;0;0
5,5000;5280;6;2;0;57;0,1240;119;3;0;0;1;0;0;0
5,6250;5400;6;2;120;59;0,3740;359;9;1;0;0;0;0;0
6,0000;5760;7;1;0;57;0,1656;159;4;0;0;0;0;0;0
6,1667;5920;7;1;160;59;0,1656;159;4;0;0;0;0;0;0
6,3333;6080;7;1;320;57;0,5406;519;13;1;0;1;0;0;1
6,8750;6600;7;2;360;52;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;8;1;0;52;0,9990;959;24;1;1;1;1;1;1
8,0000;7680;9;1;0;57;0,1656;159;4;0;0;0;0;0;0
8,1667;7840;9;1;160;59;0,1656;159;4;0;0;0;0;0;0
8,3333;8000;9;1;320;57;0,1656;159;4;0;0;1;0;0;0
8,5000;8160;9;2;0;52;0,3740;359;9;1;0;0;0;0;0
8,8750;8520;9;2;360;52;0,1240;119;3;0;0;1;0;0;0
9,0000;8640;10;1;0;51;0,3740;359;9;1;0;0;0;0;0
9,3750;9000;10;1;360;51;0,1240;119;3;0;0;0;0;0;0
9,5000;9120;10;2;0;51;0,4990;479;12;1;0;1;0;0;1
10,0000;9600;11;1;0;52;0,3740;359;9;0;0;0;0;0;0
10,3750;9960;11;1;360;51;0,1240;119;3;0;0;0;0;0;0
10,5000;10080;11;2;0;52;0,4990;479;12;0;0;0;0;0;1
11,0000;10560;12;1;0;52;0,9990;959;24;1;1;1;1;1;1
12,0000;11520;13;1;0;59;0,4990;479;12;0;0;0;0;0;1
12,5000;12000;13;2;0;61;0,1240;119;3;0;0;0;0;0;0
12,6250;12120;13;2;120;59;0,3740;359;9;1;0;0;0;0;0
13,0000;12480;14;1;0;59;0,2490;239;6;0;0;0;0;0;0
13,2500;12720;14;1;240;59;0,2490;239;6;0;0;0;0;0;0
13,5000;12960;14;2;0;59;0,2490;239;6;0;0;0;0;0;0
13,7500;13200;14;2;240;59;0,2490;239;6;0;0;0;0;0;0
14,0000;13440;15;1;0;57;0,3740;359;9;1;1;1;0;0;0
14,3750;13800;15;1;360;52;0,1240;119;3;0;0;0;0;0;0
14,5000;13920;15;2;0;52;0,4990;479;12;1;1;1;1;1;1
15,0000;14400;16;1;0;56;0,2490;239;6;0;0;0;0;0;0
15,2500;14640;16;1;240;56;0,2490;239;6;0;0;0;0;0;0
15,5000;14880;16;2;0;57;0,3740;359;9;1;1;1;0;0;0
15,8750;15240;16;2;360;52;0,1240;119;3;0;0;0;0;0;0
16,0000;15360;17;1;0;52;0,9990;959;24;1;1;1;1;1;1
17,0000;16320;18;1;0;56;0,2490;239;6;0;0;0;0;0;0
17,2500;16560;18;1;240;56;0,2490;239;6;0;0;0;0;0;0
17,5000;16800;18;2;0;57;0,3740;359;9;1;1;1;0;0;0
17,8750;17160;18;2;360;52;0,1240;119;3;0;0;0;0;0;0
18,0000;17280;19;1;0;52;1,4990;1439;36;1;1;1;1;1;1
