Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;60;0,9990;959;8;1;0;0;0;0;0
1,0000;960;2;1;0;60;0,2490;239;2;0;0;1;0;0;0
1,2500;1200;2;1;240;58;0,2490;239;2;0;0;0;0;0;0
1,5000;1440;2;2;0;60;0,9990;959;8;1;1;1;1;1;1
2,5000;2400;3;2;0;58;0,2490;239;2;0;0;0;0;0;0
2,7500;2640;3;2;240;56;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;4;1;0;58;0,4990;479;4;0;0;0;0;0;0
3,5000;3360;4;2;0;56;0,4990;479;4;1;0;1;0;0;0
4,0000;3840;5;1;0;53;0,2490;239;2;0;0;0;0;0;0
4,2500;4080;5;1;240;51;0,2490;239;2;0;0;1;1;0;0
4,5000;4320;5;2;0;56;0,4990;479;4;0;0;0;0;0;0
5,0000;4800;6;1;0;56;0,7490;719;6;1;1;1;0;0;0
5,7500;5520;6;2;240;53;0,1240;119;1;0;0;0;0;0;0
5,8750;5640;6;2;360;51;0,1240;119;1;1;1;1;1;1;0
6,5000;6240;7;2;0;56;0,4990;479;4;0;0;0;0;0;0
7,0000;6720;8;1;0;58;0,9990;959;8;1;0;1;0;0;1
8,0000;7680;9;1;0;56;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;9;1;240;53;0,2490;239;2;0;0;0;0;0;0
8,5000;8160;9;2;0;56;0,4990;479;4;1;1;0;0;0;0
9,0000;8640;10;1;0;53;0,2490;239;2;0;0;1;0;0;0
9,2500;8880;10;1;240;51;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;10;2;0;51;0,4990;479;4;1;0;1;0;0;0
10,0000;9600;11;1;0;53;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;11;1;240;51;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;11;2;0;51;0,9990;959;8;1;1;1;1;1;1
11,5000;11040;12;2;0;48;0,2490;239;2;0;0;0;0;0;0
11,7500;11280;12;2;240;46;0,1240;119;1;0;0;0;0;0;0
12,0000;11520;13;1;0;51;0,9990;959;8;1;0;1;0;0;1
13,0000;12480;14;1;0;48;0,2490;239;2;0;0;0;0;0;0
13,2500;12720;14;1;240;46;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;14;2;0;46;0,2490;239;2;0;0;1;1;0;0
13,7500;13200;14;2;240;51;0,2490;239;2;0;0;0;0;0;0
14,0000;13440;15;1;0;51;0,4990;479;4;1;0;1;0;0;0
14,5000;13920;15;2;0;53;0,2490;239;2;0;0;0;0;0;0
14,7500;14160;15;2;240;51;0,2490;239;2;0;0;0;0;0;0
15,0000;14400;16;1;0;51;0,4990;479;4;1;1;1;0;1;0
15,5000;14880;16;2;0;48;0,2490;239;2;0;0;0;0;0;0
15,7500;15120;16;2;240;46;0,2490;239;2;1;0;1;1;0;0
16,0000;15360;17;1;0;51;0,4990;479;4;0;0;0;0;0;0
16,5000;15840;17;2;0;51;0,4990;479;4;1;0;1;0;0;0
17,0000;16320;18;1;0;48;0,2490;239;2;0;0;0;0;0;0
17,2500;16560;18;1;240;46;0,2490;239;2;0;0;1;1;0;0
17,5000;16800;18;2;0;53;0,2490;239;2;0;0;0;0;0;0
17,7500;17040;18;2;240;53;0,4990;479;4;1;1;1;0;0;0
18,2500;17520;19;1;240;51;0,2490;239;2;0;0;0;0;0;0
18,5000;17760;19;2;0;48;0,2490;239;2;0;0;0;0;0;0
18,7500;18000;19;2;240;53;0,9990;959;8;1;0;1;1;1;1
21,0000;20160;22;1;0;58;0,2490;239;2;0;0;0;0;0;0
21,2500;20400;22;1;240;58;0,4990;479;4;1;1;1;0;0;0
21,7500;20880;22;2;240;55;0,2490;239;2;0;0;0;0;0;0
22,0000;21120;23;1;0;53;0,2490;239;2;0;0;0;0;0;0
22,2500;21360;23;1;240;53;0,9990;959;8;1;0;1;0;0;1
23,2500;22320;24;1;240;55;0,2490;239;2;0;0;0;0;0;0
23,5000;22560;24;2;0;51;0,2490;239;2;0;0;0;0;0;0
23,7500;22800;24;2;240;53;0,4990;479;4;0;0;0;0;0;0
24,2500;23280;25;1;240;51;0,4990;479;4;1;0;0;0;1;0
24,7500;23760;25;2;240;48;0,2490;239;2;0;0;0;0;0;0
25,0000;24000;26;1;0;46;0,2490;239;2;0;0;1;1;0;0
25,2500;24240;26;1;240;53;0,2490;239;2;0;0;0;0;0;0
25,5000;24480;26;2;0;53;0,4990;479;4;1;1;1;0;0;0
26,0000;24960;27;1;0;51;0,2490;239;2;0;0;0;0;0;0
26,2500;25200;27;1;240;48;0,2490;239;2;0;0;1;1;0;0
26,5000;25440;27;2;0;53;0,4990;479;4;1;0;0;0;0;0
27,0000;25920;28;1;0;55;0,2490;239;2;0;0;1;0;0;0
27,2500;26160;28;1;240;53;0,2490;239;2;1;0;0;0;0;0
27,5000;26400;28;2;0;53;0,9990;959;8;0;0;1;0;0;0
28,5000;27360;29;2;0;53;0,9990;959;8;1;1;1;1;1;1
