Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;59;0,1240;119;1;0;0;0;0;0;0
1,0000;960;0;3;0;59;0,2490;239;2;1;0;1;0;0;0
1,2500;1200;0;3;240;57;0,1240;119;1;0;0;0;0;0;0
1,3750;1320;0;3;360;56;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;1;1;0;54;0,2490;239;2;1;1;1;1;1;0
2,0000;1920;1;2;0;57;0,3740;359;3;0;0;0;0;0;0
2,3750;2280;1;2;360;54;0,1240;119;1;0;0;0;0;0;0
2,5000;2400;1;3;0;57;0,1240;119;1;0;0;1;0;0;0
2,6250;2520;1;3;120;54;0,1240;119;1;0;0;0;0;0;0
2,7500;2640;1;3;240;54;0,1240;119;1;0;0;0;0;0;0
2,8750;2760;1;3;360;54;0,1240;119;1;0;1;0;0;0;0
3,0000;2880;2;1;0;52;0,2490;239;2;0;0;1;1;0;0
3,2500;3120;2;1;240;59;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;2;2;0;59;0,2490;239;2;1;0;1;0;0;0
3,7500;3600;2;2;240;57;0,1240;119;1;0;0;0;0;0;0
3,8750;3720;2;2;360;56;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;2;3;0;54;0,2490;239;2;1;1;1;1;1;0
4,5000;4320;3;1;0;52;0,2490;239;2;0;0;0;0;0;0
4,7500;4560;3;1;240;52;0,2490;239;2;0;0;1;0;0;0
5,0000;4800;3;2;0;47;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;3;2;240;47;0,2490;239;2;0;0;0;0;0;0
5,5000;5280;3;3;0;47;0,4990;479;4;1;1;0;0;0;1
6,0000;5760;4;1;0;47;0,2490;239;2;0;0;1;1;0;0
6,2500;6000;4;1;240;52;0,1240;119;1;0;0;0;0;0;0
6,3750;6120;4;1;360;52;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;4;2;0;52;0,2490;239;2;0;0;1;0;0;0
6,7500;6480;4;2;240;54;0,2490;239;2;0;0;0;0;0;0
7,0000;6720;4;3;0;54;0,2490;239;2;1;1;1;1;1;0
7,5000;7200;5;1;0;57;0,3740;359;3;0;0;0;0;0;0
7,8750;7560;5;1;360;54;0,1240;119;1;0;0;0;0;0;0
8,0000;7680;5;2;0;57;0,1240;119;1;0;0;1;0;0;0
8,1250;7800;5;2;120;54;0,1240;119;1;0;0;0;0;0;0
8,2500;7920;5;2;240;54;0,1240;119;1;0;0;0;0;0;0
8,3750;8040;5;2;360;54;0,1240;119;1;1;1;0;0;0;0
8,5000;8160;5;3;0;52;0,2490;239;2;0;0;1;1;0;0
8,7500;8400;5;3;240;59;0,2490;239;2;1;1;1;1;1;1
