Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;58;0,3740;359;3;0;0;0;0;0;0
0,3750;360;1;1;360;58;0,1240;119;1;1;1;1;1;0;0
0,5000;480;1;2;0;65;0,2490;239;2;0;0;0;0;0;0
0,7500;720;1;2;240;65;0,2490;239;2;0;0;0;0;0;0
1,0000;960;2;1;0;65;0,4990;479;4;1;0;1;0;0;1
1,5000;1440;2;2;0;65;0,4990;479;4;0;0;0;0;0;1
2,0000;1920;3;1;0;63;0,2490;239;2;0;1;1;1;1;0
2,5000;2400;3;2;0;67;0,3740;359;3;0;1;0;0;0;0
2,8750;2760;3;2;360;63;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;4;1;0;63;0,3740;359;3;1;1;1;0;0;0
3,3750;3240;4;1;360;63;0,1240;119;1;0;0;0;0;0;0
3,5000;3360;4;2;0;63;0,3740;359;3;1;0;1;0;0;0
3,8750;3720;4;2;360;63;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;5;1;0;63;0,3740;359;3;1;0;1;0;0;0
4,3750;4200;5;1;360;60;0,1240;119;1;0;0;0;0;0;0
4,5000;4320;5;2;0;63;0,3740;359;3;1;1;1;1;0;0
4,8750;4680;5;2;360;58;0,1240;119;1;0;0;0;0;0;0
5,0000;4800;6;1;0;58;0,3740;359;3;1;0;1;0;0;0
5,3750;5160;6;1;360;58;0,1240;119;1;0;0;0;0;0;0
5,5000;5280;6;2;0;58;0,2490;239;2;1;1;1;1;1;0
6,0000;5760;7;1;0;63;0,3740;359;3;0;0;0;0;0;0
6,3750;6120;7;1;360;63;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;7;2;0;63;0,3740;359;3;1;1;1;0;0;0
6,8750;6600;7;2;360;58;0,1240;119;1;0;0;0;0;0;0
7,0000;6720;8;1;0;58;0,3740;359;3;1;0;1;0;0;0
7,3750;7080;8;1;360;58;0,1240;119;1;0;0;0;0;0;0
7,5000;7200;8;2;0;58;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;8;2;240;58;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;9;1;0;58;0,3740;359;3;1;0;1;0;0;0
8,3750;8040;9;1;360;58;0,1240;119;1;0;0;0;0;0;0
8,5000;8160;9;2;0;58;0,2490;239;2;0;0;0;0;0;0
8,7500;8400;9;2;240;58;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;10;1;0;58;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;10;1;240;58;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;10;2;0;56;0,2490;239;2;1;1;1;1;1;0
10,0000;9600;11;1;0;60;0,1240;119;1;0;0;0;0;0;0
10,1250;9720;11;1;120;58;0,3740;359;3;0;0;1;0;0;0
10,5000;10080;11;2;0;60;0,4990;479;4;0;0;0;0;0;1
11,0000;10560;12;1;0;58;0,3740;359;3;0;1;1;0;0;0
11,3750;10920;12;1;360;58;0,1240;119;1;0;0;0;0;0;0
11,5000;11040;12;2;0;58;0,4990;479;4;1;1;1;1;0;1
12,0000;11520;13;1;0;58;0,3740;359;3;0;0;0;0;0;0
12,3750;11880;13;1;360;58;0,1240;119;1;0;0;0;0;0;0
12,5000;12000;13;2;0;58;0,4990;479;4;1;0;1;1;1;1
13,0000;12480;14;1;0;58;0,3740;359;3;0;0;0;0;0;0
13,3750;12840;14;1;360;58;0,1240;119;1;0;0;0;0;0;0
13,5000;12960;14;2;0;58;0,2490;239;2;0;0;0;0;0;0
13,7500;13200;14;2;240;58;0,2490;239;2;0;0;0;0;0;0
14,0000;13440;15;1;0;58;0,3740;359;3;1;1;1;0;0;0
14,3750;13800;15;1;360;58;0,1240;119;1;0;0;0;0;0;0
14,5000;13920;15;2;0;58;0,2490;239;2;1;1;1;1;1;0
15,0000;14400;16;1;0;58;0,3740;359;3;0;0;0;0;0;0
15,3750;14760;16;1;360;58;0,1240;119;1;0;0;0;0;0;0
15,5000;14880;16;2;0;58;0,1240;119;1;0;0;0;0;0;0
15,6250;15000;16;2;120;58;0,3740;359;3;0;0;0;0;0;0
16,0000;15360;17;1;0;56;0,3740;359;3;1;0;0;0;0;0
16,3750;15720;17;1;360;58;0,1240;119;1;0;0;0;0;0;0
16,5000;15840;17;2;0;58;0,2490;239;2;0;0;0;0;0;0
16,7500;16080;17;2;240;58;0,2490;239;2;0;0;0;0;1;0
17,0000;16320;18;1;0;56;0,3740;359;3;1;1;1;0;0;0
17,3750;16680;18;1;360;58;0,1240;119;1;0;0;0;0;0;0
17,5000;16800;18;2;0;58;0,3740;359;3;1;0;1;1;0;0
17,8750;17160;18;2;360;58;0,1240;119;1;0;0;0;0;0;0
18,0000;17280;19;1;0;58;0,3740;359;3;1;1;1;1;0;0
18,3750;17640;19;1;360;58;0,1240;119;1;0;0;0;0;0;0
18,5000;17760;19;2;0;58;0,3740;359;3;1;1;1;1;0;0
18,8750;18120;19;2;360;58;0,1240;119;1;0;0;0;0;0;0
19,0000;18240;20;1;0;58;0,4990;479;4;1;1;1;1;1;1
