Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;60;0,3740;359;9;0;0;1;0;0;0
0,3750;360;1;1;360;60;0,1240;119;3;0;0;0;0;0;0
0,5000;480;1;2;0;60;0,3740;359;9;1;0;1;0;0;0
0,8750;840;1;2;360;60;0,1240;119;3;0;0;0;0;0;0
1,0000;960;2;1;0;60;0,4990;479;12;0;0;0;0;0;0
1,5000;1440;2;2;0;60;0,4990;479;12;0;0;0;0;1;0
2,0000;1920;3;1;0;58;0,3740;359;9;1;1;1;0;0;0
2,3750;2280;3;1;360;55;0,1240;119;3;0;0;0;0;0;0
2,5000;2400;3;2;0;55;0,3740;359;9;1;1;0;0;0;0
2,8750;2760;3;2;360;55;0,1240;119;3;0;0;1;1;0;0
3,0000;2880;4;1;0;60;0,4990;479;12;0;0;0;0;0;0
3,5000;3360;4;2;0;55;0,4990;479;12;0;0;0;0;0;0
4,0000;3840;5;1;0;53;0,3740;359;9;1;0;0;0;0;0
4,3750;4200;5;1;360;53;0,1240;119;3;0;0;0;0;0;0
4,5000;4320;5;2;0;53;0,3740;359;9;1;1;0;0;1;0
4,8750;4680;5;2;360;53;0,1240;119;3;0;0;1;0;0;0
5,0000;4800;6;1;0;55;0,2490;239;6;0;0;0;0;0;0
5,2500;5040;6;1;240;53;0,2490;239;6;0;0;0;0;0;0
5,5000;5280;6;2;0;53;0,4990;479;12;1;1;0;0;0;0
6,0000;5760;7;1;0;53;0,2490;239;6;0;0;1;1;0;0
6,2500;6000;7;1;240;58;0,3740;359;9;1;1;0;0;0;0
6,6250;6360;7;2;120;55;0,1240;119;3;0;0;0;0;0;0
6,7500;6480;7;2;240;58;0,3740;359;9;0;0;1;0;0;0
7,1250;6840;8;1;120;55;0,3740;359;9;0;0;0;0;0;0
7,5000;7200;8;2;0;53;0,9990;959;24;0;0;1;0;1;1
8,5000;8160;9;2;0;55;0,1656;159;4;1;0;0;0;0;0
8,6667;8320;9;2;160;53;0,1656;159;4;0;0;0;0;0;0
8,8333;8480;9;2;320;53;0,1656;159;4;0;0;0;0;0;0
9,0000;8640;10;1;0;53;0,4990;479;12;1;1;1;1;0;0
9,5000;9120;10;2;0;58;0,1656;159;4;0;0;0;0;0;0
9,6667;9280;10;2;160;55;0,3323;319;8;0;0;0;0;0;0
10,0000;9600;11;1;0;58;0,1656;159;4;0;0;0;0;0;0
10,1667;9760;11;1;160;55;0,3323;319;8;0;0;0;0;0;0
10,5000;10080;11;2;0;53;0,2490;239;6;1;1;1;0;1;0
11,0000;10560;12;1;0;53;0,3740;359;9;0;0;0;0;0;0
11,3750;10920;12;1;360;53;0,1240;119;3;0;0;0;0;0;0
11,5000;11040;12;2;0;53;0,3740;359;9;1;0;1;0;0;0
11,8750;11400;12;2;360;53;0,1240;119;3;0;0;0;0;0;0
12,0000;11520;13;1;0;53;0,3740;359;9;1;0;0;0;0;0
12,3750;11880;13;1;360;53;0,1240;119;3;0;0;1;0;0;0
12,5000;12000;13;2;0;55;0,1656;159;4;1;1;0;0;0;0
12,6667;12160;13;2;160;53;0,1656;159;4;0;0;0;0;0;0
12,8333;12320;13;2;320;53;0,1656;159;4;0;0;0;0;0;0
13,0000;12480;14;1;0;53;0,4990;479;12;0;0;1;0;1;0
13,5000;12960;14;2;0;55;0,1656;159;4;0;0;0;0;0;0
13,6667;13120;14;2;160;53;0,1656;159;4;0;0;0;0;0;0
13,8333;13280;14;2;320;53;0,1656;159;4;0;0;0;0;0;0
14,0000;13440;15;1;0;53;0,4990;479;12;1;1;1;1;0;0
14,5000;13920;15;2;0;58;0,1656;159;4;0;0;0;0;0;0
14,6667;14080;15;2;160;55;0,3323;319;8;0;0;0;0;0;0
15,0000;14400;16;1;0;58;0,1656;159;4;1;0;1;0;0;0
15,1667;14560;16;1;160;55;0,3323;319;8;0;0;0;0;0;0
15,5000;14880;16;2;0;53;0,7490;719;18;1;1;1;1;1;1
