Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;53;0,3740;359;9;0;0;0;0;0;0
0,3750;360;1;1;360;53;0,1240;119;3;0;0;1;1;0;0
0,5000;480;1;2;0;62;0,3740;359;9;1;1;0;0;0;0
0,8750;840;1;2;360;62;0,1240;119;3;0;0;0;0;0;0
1,0000;960;1;3;0;62;0,1656;159;4;0;0;1;0;0;0
1,1667;1120;1;3;160;58;0,1656;159;4;0;1;0;0;0;0
1,3333;1280;1;3;320;58;0,1656;159;4;0;1;0;0;0;0
1,5000;1440;2;1;0;60;0,1656;159;4;0;0;0;0;0;0
1,6667;1600;2;1;160;58;0,1656;159;4;0;0;0;0;0;0
1,8333;1760;2;1;320;58;0,1656;159;4;0;0;0;0;0;0
2,0000;1920;2;2;0;58;0,6240;599;15;1;1;1;1;1;1
2,6250;2520;2;3;120;55;0,1240;119;3;0;0;0;0;0;0
2,7500;2640;2;3;240;58;0,2490;239;6;0;0;0;0;0;0
3,0000;2880;3;1;0;58;0,2490;239;6;0;0;1;0;0;0
3,2500;3120;3;1;240;53;0,3740;359;9;1;0;0;0;0;0
3,6250;3480;3;2;120;53;0,1240;119;3;0;0;1;0;0;0
3,7500;3600;3;2;240;58;0,3740;359;9;1;1;0;0;0;0
4,1250;3960;3;3;120;55;0,1240;119;3;0;0;0;0;0;0
4,2500;4080;3;3;240;53;0,3740;359;9;1;0;1;0;0;0
4,6250;4440;4;1;120;53;0,1240;119;3;0;0;0;0;0;0
4,7500;4560;4;1;240;55;0,1656;159;4;0;0;0;0;0;0
4,9167;4720;4;1;400;53;0,1656;159;4;1;0;0;0;0;0
5,0833;4880;4;2;80;53;0,1656;159;4;0;0;0;0;0;0
5,2500;5040;4;2;240;53;0,4990;479;12;1;1;1;0;1;1
5,7500;5520;4;3;240;53;0,2490;239;6;0;0;0;0;0;0
6,0000;5760;5;1;0;53;0,2490;239;6;1;0;1;0;0;0
6,2500;6000;5;1;240;50;0,2490;239;6;0;0;0;0;0;0
6,5000;6240;5;2;0;50;0,2490;239;6;1;0;1;0;0;0
6,7500;6480;5;2;240;53;0,1240;119;3;0;0;0;0;0;0
6,8750;6600;5;2;360;53;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;5;3;0;53;0,3740;359;9;1;1;1;1;0;0
7,3750;7080;5;3;360;50;0,1240;119;3;0;0;0;0;0;0
7,5000;7200;6;1;0;53;0,3740;359;9;1;0;1;0;0;0
7,8750;7560;6;1;360;53;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;6;2;0;53;0,3740;359;9;1;0;1;0;0;0
8,3750;8040;6;2;360;53;0,1240;119;3;0;0;0;0;0;0
8,5000;8160;6;3;0;53;0,4990;479;12;1;1;1;1;1;1
9,0000;8640;7;1;0;53;0,1240;119;3;0;0;0;0;0;0
9,1250;8760;7;1;120;53;0,1240;119;3;1;0;1;0;0;0
9,2500;8880;7;1;240;55;0,1240;119;3;0;0;0;0;0;0
9,3750;9000;7;1;360;55;0,1240;119;3;0;0;0;0;0;0
9,5000;9120;7;2;0;53;0,3740;359;9;1;1;1;1;0;0
9,8750;9480;7;2;360;50;0,1240;119;3;0;0;0;0;0;0
10,0000;9600;7;3;0;53;0,3740;359;9;1;0;1;0;0;0
10,3750;9960;7;3;360;53;0,1240;119;3;0;0;0;0;0;0
10,5000;10080;8;1;0;53;0,2490;239;6;1;0;1;0;0;0
10,7500;10320;8;1;240;53;0,1240;119;3;0;0;0;0;0;0
10,8750;10440;8;1;360;53;0,1240;119;3;0;0;0;0;0;0
11,0000;10560;8;2;0;53;0,9990;959;24;0;1;1;1;1;1
12,0000;11520;9;1;0;55;0,1656;159;4;0;1;0;0;0;0
12,1667;11680;9;1;160;53;0,1656;159;4;0;0;0;0;0;0
12,3333;11840;9;1;320;53;0,1656;159;4;1;1;1;1;1;1
