Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;57;0,1240;119;3;0;0;0;0;0;0
0,1250;120;1;1;120;57;0,3740;359;9;0;0;0;0;0;0
0,5000;480;1;2;0;57;0,4990;479;12;1;1;1;1;0;0
1,0000;960;2;1;0;54;0,1240;119;3;0;0;0;0;0;0
1,1250;1080;2;1;120;54;0,3740;359;9;0;0;0;0;0;0
1,5000;1440;2;2;0;50;0,4990;479;12;1;1;1;0;1;0
2,0000;1920;3;1;0;55;0,1240;119;3;0;0;0;0;0;0
2,1250;2040;3;1;120;54;0,3740;359;9;1;0;1;0;0;0
2,5000;2400;3;2;0;55;0,2490;239;6;0;0;0;0;0;0
2,7500;2640;3;2;240;54;0,2490;239;6;1;0;1;0;0;0
3,0000;2880;4;1;0;50;0,1240;119;3;0;0;0;0;0;0
3,1250;3000;4;1;120;50;0,3740;359;9;1;1;1;0;0;0
3,5000;3360;4;2;0;45;0,4990;479;12;0;0;0;0;0;0
4,0000;3840;5;1;0;47;0,1656;159;4;0;0;0;0;0;0
4,1667;4000;5;1;160;45;0,1656;159;4;0;0;0;0;0;0
4,3333;4160;5;1;320;45;0,1656;159;4;1;0;1;0;0;0
4,5000;4320;5;2;0;50;0,4990;479;12;0;0;0;0;1;0
5,0000;4800;6;1;0;50;0,3740;359;9;0;0;0;0;0;0
5,3750;5160;6;1;360;50;0,1240;119;3;0;0;0;0;0;0
5,5000;5280;6;2;0;50;0,4990;479;12;1;1;1;1;0;0
6,0000;5760;7;1;0;55;0,2490;239;6;0;0;0;0;0;0
6,2500;6000;7;1;240;54;0,2490;239;6;0;0;0;0;0;0
6,5000;6240;7;2;0;55;0,2490;239;6;0;0;0;0;0;0
6,7500;6480;7;2;240;54;0,2490;239;6;1;0;1;0;0;0
7,0000;6720;8;1;0;50;0,1240;119;3;0;0;0;0;0;0
7,1250;6840;8;1;120;50;0,3740;359;9;1;1;1;1;0;0
7,5000;7200;8;2;0;45;0,4990;479;12;0;0;0;0;1;0
8,0000;7680;9;1;0;47;0,1240;119;3;0;0;0;0;0;0
8,1250;7800;9;1;120;45;0,3740;359;9;1;1;1;0;0;0
8,5000;8160;9;2;0;50;0,4990;479;12;0;0;0;0;0;0
9,0000;8640;10;1;0;50;0,1240;119;3;0;0;0;0;0;0
9,1250;8760;10;1;120;50;0,3740;359;9;0;0;0;0;0;0
9,5000;9120;10;2;0;50;0,2490;239;6;1;0;1;1;1;0
10,0000;9600;11;1;0;57;0,4990;479;12;0;0;0;0;0;0
10,5000;10080;11;2;0;54;0,4990;479;12;1;0;0;0;0;0
11,0000;10560;12;1;0;57;0,2490;239;6;0;0;1;0;0;0
11,2500;10800;12;1;240;54;0,2490;239;6;0;0;0;0;0;0
11,5000;11040;12;2;0;54;0,2490;239;6;1;0;1;0;0;0
12,0000;11520;13;1;0;57;0,2490;239;6;0;0;0;0;0;0
12,2500;11760;13;1;240;54;0,2490;239;6;0;0;0;0;0;0
12,5000;12000;13;2;0;54;0,9990;959;24;1;1;1;1;1;1
13,5000;12960;14;2;0;50;0,1240;119;3;0;0;0;0;0;0
13,6250;13080;14;2;120;50;0,3740;359;9;1;0;1;0;0;0
14,0000;13440;15;1;0;45;0,4990;479;12;0;0;0;0;0;0
14,5000;13920;15;2;0;47;0,1656;159;4;1;1;0;0;0;0
14,6667;14080;15;2;160;45;0,1656;159;4;0;0;0;0;0;0
14,8333;14240;15;2;320;45;0,1656;159;4;0;0;1;1;0;0
15,0000;14400;16;1;0;50;0,4990;479;12;1;0;0;0;0;0
15,5000;14880;16;2;0;50;0,1240;119;3;0;0;0;0;0;0
15,6250;15000;16;2;120;50;0,3740;359;9;0;0;0;0;0;0
16,0000;15360;17;1;0;50;0,4990;479;12;1;1;1;0;1;0
16,5000;15840;17;2;0;55;0,2490;239;6;0;0;0;0;0;0
16,7500;16080;17;2;240;54;0,2490;239;6;0;0;0;0;0;0
17,0000;16320;18;1;0;55;0,2490;239;6;0;0;0;0;0;0
17,2500;16560;18;1;240;54;0,2490;239;6;1;0;1;0;0;0
17,5000;16800;18;2;0;50;0,1240;119;3;0;0;0;0;0;0
17,6250;16920;18;2;120;50;0,3740;359;9;1;1;1;0;0;0
18,0000;17280;19;1;0;45;0,4990;479;12;0;0;0;0;1;0
18,5000;17760;19;2;0;47;0,1656;159;4;0;0;0;0;0;0
18,6667;17920;19;2;160;45;0,1656;159;4;0;0;0;0;0;0
18,8333;18080;19;2;320;45;0,1656;159;4;0;0;1;1;0;0
19,0000;18240;20;1;0;50;0,4990;479;12;1;1;0;0;0;0
19,5000;18720;20;2;0;50;0,1240;119;3;0;0;0;0;0;0
19,6250;18840;20;2;120;50;0,3740;359;9;0;0;1;0;0;0
20,0000;19200;21;1;0;50;0,2490;239;6;1;1;1;1;1;1
