Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;55;0,4990;479;12;0;0;0;0;0;0
1,0000;960;1;3;0;55;0,4990;479;12;0;0;1;0;0;0
2,0000;1920;2;2;0;55;0,9990;959;24;0;0;0;0;0;1
3,0000;2880;3;1;0;55;0,9990;959;24;1;0;1;0;0;1
4,0000;3840;3;3;0;52;0,2490;239;6;0;0;0;0;0;0
4,2500;4080;3;3;240;52;0,2490;239;6;0;0;0;0;0;0
4,5000;4320;4;1;0;55;0,9990;959;24;0;1;1;1;1;1
6,5000;6240;5;2;0;55;0,4990;479;12;0;1;0;0;0;0
7,0000;6720;5;3;0;52;0,2490;239;6;0;0;0;0;0;0
7,2500;6960;5;3;240;52;0,2490;239;6;0;0;0;0;0;0
7,5000;7200;6;1;0;55;0,9990;959;24;1;1;1;0;0;1
8,5000;8160;6;3;0;52;0,2490;239;6;0;0;0;0;0;0
8,7500;8400;6;3;240;52;0,2490;239;6;0;0;1;0;0;0
9,0000;8640;7;1;0;55;0,4990;479;12;1;0;0;0;0;0
9,5000;9120;7;2;0;55;0,2490;239;6;0;0;0;0;0;0
9,7500;9360;7;2;240;55;0,2490;239;6;0;0;0;0;0;0
10,0000;9600;7;3;0;55;0,9990;959;24;1;1;1;1;1;1
11,0000;10560;8;2;0;59;0,2490;239;6;0;0;0;0;0;0
11,2500;10800;8;2;240;59;0,2490;239;6;0;0;0;0;0;0
11,5000;11040;8;3;0;55;0,4990;479;12;1;0;1;0;0;0
12,0000;11520;9;1;0;59;0,2490;239;6;0;0;0;0;0;0
12,2500;11760;9;1;240;59;0,2490;239;6;0;0;0;0;0;0
12,5000;12000;9;2;0;55;0,4990;479;12;1;1;1;1;1;0
14,0000;13440;10;2;0;59;0,2490;239;6;0;0;0;0;0;0
14,2500;13680;10;2;240;59;0,2490;239;6;0;0;0;0;0;0
14,5000;13920;10;3;0;55;0,4990;479;12;1;1;1;0;0;0
15,0000;14400;11;1;0;59;0,2490;239;6;0;0;0;0;0;0
15,2500;14640;11;1;240;59;0,2490;239;6;0;0;0;0;0;0
15,5000;14880;11;2;0;55;0,9990;959;24;1;1;1;1;1;1
17,0000;16320;12;2;0;59;0,2490;239;6;0;0;0;0;0;0
17,2500;16560;12;2;240;59;0,2490;239;6;0;0;1;0;0;0
17,5000;16800;12;3;0;55;0,4990;479;12;1;0;0;0;0;0
18,0000;17280;13;1;0;55;0,1656;159;4;0;0;0;0;0;0
18,1667;17440;13;1;160;55;0,1656;159;4;0;0;0;0;0;0
18,3333;17600;13;1;320;55;0,1656;159;4;0;0;0;0;0;0
18,5000;17760;13;2;0;55;0,4990;479;12;1;1;1;0;1;0
19,5000;18720;14;1;0;55;0,1656;159;4;0;0;0;0;0;0
19,6667;18880;14;1;160;55;0,1656;159;4;0;0;0;0;0;0
19,8333;19040;14;1;320;55;0,1656;159;4;0;0;0;0;0;0
20,0000;19200;14;2;0;55;0,4990;479;12;1;1;1;0;0;0
20,5000;19680;14;3;0;55;0,1656;159;4;0;0;0;0;0;0
20,6667;19840;14;3;160;55;0,1656;159;4;0;0;0;0;0;0
20,8333;20000;14;3;320;55;0,1656;159;4;0;0;0;0;0;0
21,0000;20160;15;1;0;55;0,9990;959;24;1;1;1;1;1;1
22,5000;21600;16;1;0;55;0,2490;239;6;0;0;0;0;0;0
22,7500;21840;16;1;240;55;0,2490;239;6;0;0;0;0;0;0
23,0000;22080;16;2;0;55;0,4990;479;12;1;1;1;0;0;0
23,5000;22560;16;3;0;55;0,2490;239;6;0;0;0;0;0;0
23,7500;22800;16;3;240;55;0,2490;239;6;0;0;0;0;0;0
24,0000;23040;17;1;0;55;0,1240;119;3;0;0;0;0;0;0
24,1250;23160;17;1;120;55;0,8740;839;21;1;1;1;1;1;0
25,5000;24480;18;1;0;55;0,2490;239;6;0;0;0;0;0;0
25,7500;24720;18;1;240;55;0,2490;239;6;0;0;0;0;0;0
26,0000;24960;18;2;0;55;0,2490;239;6;0;0;0;0;0;0
26,2500;25200;18;2;240;55;0,2490;239;6;0;0;0;0;0;0
26,5000;25440;18;3;0;55;0,2490;239;6;0;0;1;0;0;0
26,7500;25680;18;3;240;59;0,2490;239;6;0;0;0;0;0;0
27,0000;25920;19;1;0;59;0,1240;119;3;1;0;1;1;0;0
27,1250;26040;19;1;120;55;0,3740;359;9;0;0;0;0;0;0
27,5000;26400;19;2;0;55;0,4990;479;12;1;1;0;0;1;0
28,0000;26880;19;3;0;55;0,2490;239;6;0;0;1;0;0;0
28,2500;27120;19;3;240;59;0,2490;239;6;0;0;0;0;0;0
28,5000;27360;20;1;0;59;0,2490;239;6;1;0;1;0;0;0
28,7500;27600;20;1;240;55;0,2490;239;6;0;0;0;0;0;0
29,0000;27840;20;2;0;55;0,2490;239;6;0;0;1;0;0;0
29,2500;28080;20;2;240;59;0,2490;239;6;0;0;0;0;0;0
29,5000;28320;20;3;0;59;0,1240;119;3;0;0;1;0;0;0
29,6250;28440;20;3;120;55;0,3740;359;9;0;0;0;0;0;0
30,0000;28800;21;1;0;55;0,4990;479;12;1;1;0;0;1;0
31,0000;29760;21;3;0;55;0,2490;239;6;0;0;1;1;0;0
31,2500;30000;21;3;240;59;0,2490;239;6;0;0;0;0;0;0
31,5000;30240;22;1;0;59;0,2490;239;6;1;0;1;0;0;0
31,7500;30480;22;1;240;55;0,2490;239;6;0;0;0;0;0;0
32,0000;30720;22;2;0;55;0,2490;239;6;0;0;1;0;0;0
32,2500;30960;22;2;240;59;0,2490;239;6;0;0;0;0;0;0
32,5000;31200;22;3;0;59;0,1240;119;3;0;0;0;0;0;0
32,6250;31320;22;3;120;55;0,8740;839;21;1;1;1;1;1;0
34,0000;32640;23;3;0;55;0,2490;239;6;0;0;0;0;0;0
34,2500;32880;23;3;240;59;0,2490;239;6;0;0;0;0;0;0
34,5000;33120;24;1;0;59;0,2490;239;6;0;0;0;0;0;0
34,7500;33360;24;1;240;55;0,2490;239;6;0;0;0;0;0;0
35,0000;33600;24;2;0;59;0,2490;239;6;0;0;0;0;0;0
35,2500;33840;24;2;240;59;0,2490;239;6;0;0;0;0;0;0
35,5000;34080;24;3;0;59;1,4990;1439;36;1;1;1;1;1;1
