Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,5000;480;0;2;0;54;0,1240;119;6;0;0;0;0;0;0
0,6250;600;0;2;120;54;0,1240;119;6;0;0;0;0;0;0
0,7500;720;0;2;240;54;0,1240;119;6;1;1;0;0;0;0
0,9375;900;0;2;420;54;0,0615;59;3;0;0;1;1;0;0
1,0000;960;1;1;0;59;0,3740;359;18;1;1;0;0;0;0
1,3750;1320;1;1;360;59;0,1240;119;6;0;0;0;0;0;0
1,5000;1440;1;2;0;59;0,2490;239;12;1;0;1;0;1;0
1,8750;1800;1;2;360;59;0,1240;119;6;0;0;0;0;0;0
2,0000;1920;2;1;0;57;0,3740;359;18;1;1;1;0;0;0
2,3750;2280;2;1;360;54;0,1240;119;6;0;0;0;0;0;0
2,5000;2400;2;2;0;52;0,2490;239;12;1;1;1;1;0;0
2,8750;2760;2;2;360;57;0,1240;119;6;0;0;0;0;0;0
3,0000;2880;3;1;0;57;0,3740;359;18;1;1;1;0;0;0
3,3750;3240;3;1;360;54;0,1240;119;6;0;0;0;0;0;0
3,5000;3360;3;2;0;52;0,1240;119;6;1;0;1;0;0;0
3,7500;3600;3;2;240;49;0,1240;119;6;0;0;0;0;0;0
3,8750;3720;3;2;360;52;0,1240;119;6;0;0;0;0;0;0
4,0000;3840;4;1;0;52;0,4990;479;24;0;0;0;0;0;1
4,5000;4320;4;2;0;54;0,2490;239;12;1;0;1;1;1;0
5,0000;4800;5;1;0;49;0,1240;119;6;0;0;0;0;0;0
5,1250;4920;5;1;120;54;0,1240;119;6;0;0;0;0;0;0
5,2500;5040;5;1;240;54;0,1240;119;6;1;1;1;0;0;0
5,4375;5220;5;1;420;49;0,0615;59;3;0;0;0;0;0;0
5,5000;5280;5;2;0;52;0,4990;479;24;1;0;1;1;1;1
6,3750;6120;6;1;360;52;0,1240;119;6;0;0;0;0;0;0
6,5000;6240;6;2;0;52;0,1240;119;6;1;1;1;0;0;0
6,7500;6480;6;2;240;52;0,1240;119;6;0;0;0;0;0;0
6,8750;6600;6;2;360;54;0,1240;119;6;0;0;0;0;0;0
7,0000;6720;7;1;0;54;0,4990;479;24;1;1;1;1;1;1
